,LOC,ACT_EFFORT
0,70.0,278.0
1,227.0,1181.0
2,177.9,1248.0
3,115.8,480.0
4,29.5,120.0
5,19.7,60.0
6,66.6,300.0
7,5.5,18.0
8,10.4,50.0
9,14.0,60.0
10,16.0,114.0
11,6.5,42.0
12,13.0,60.0
13,8.0,42.0
14,90.0,450.0
15,15.0,90.0
16,38.0,210.0
17,10.0,48.0
18,161.1,815.0
19,48.5,239.0
20,32.6,170.0
21,12.8,62.0
22,15.4,70.0
23,16.3,82.0
24,35.5,192.0
25,25.9,117.6
26,24.6,117.6
27,7.7,31.2
28,9.7,25.2
29,2.2,8.4
30,3.5,10.8
31,8.2,36.0
32,66.6,352.8
33,150.0,324.0
34,100.0,360.0
35,100.0,215.0
36,100.0,360.0
37,15.0,48.0
38,32.5,60.0
39,31.5,60.0
40,6.0,24.0
41,11.3,36.0
42,20.0,72.0
43,20.0,48.0
44,7.5,72.0
45,302.0,2400.0
46,370.0,3240.0
47,219.0,2120.0
48,50.0,370.0
49,101.0,750.0
50,190.0,420.0
51,47.5,252.0
52,21.0,107.0
53,423.0,2300.0
54,79.0,400.0
55,284.7,973.0
56,282.1,1368.0
57,78.0,571.4
58,11.4,98.8
59,19.3,155.0
