,TechUGCourses,Total Workshops,TotalLangExp,Software Proj Mgmt Exp,ABS((TotalEstimates-TotalActual)/TotalActual)
0,0.0,0.0,10.75,0.0,0.897020854
1,5.0,0.0,1.0,0.0,0.895233366
2,21.0,1.0,2.0,0.0,0.891261172
3,0.0,0.0,0.5,0.0,0.88877855
4,10.0,0.0,12.0,0.0,0.88877855
5,4.0,2.0,1.5,1.0,0.885402185
6,0.0,0.0,3.25,0.0,0.86693148
7,9.0,1.0,-8.0,2.0,0.856007944
8,1.0,0.0,0.0,0.0,0.85203575
9,9.0,0.0,0.0,0.0,0.834160874
10,26.0,11.0,18.0,4.0,0.828202582
11,0.0,0.0,9.5,2.0,0.820258193
12,72.0,0.0,0.0,0.0,0.815292949
13,27.0,0.0,12.75,0.0,0.795431976
14,0.0,0.0,7.0,5.0,0.779116187
15,2.0,0.0,0.0,0.0,0.776564052
16,6.0,6.0,11.5,2.25,0.765640516
17,25.0,0.0,7.0,1.0,0.757696127
18,2.0,3.5,1.0,0.0,0.752730884
19,2.0,13.0,13.0,4.0,0.72591857
20,3.0,0.0,8.0,0.0,0.724428997
21,15.0,17.0,4.25,5.5,0.721946375
22,27.0,2.0,2.75,0.0,0.709036743
23,7.0,0.0,9.0,6.0,0.695134062
24,20.0,7.0,1.5,0.0,0.692154916
25,17.0,0.0,31.75,0.25,0.15590864
26,0.0,2.0,8.75,0.0,0.148957299
27,7.0,5.0,16.0,4.0,0.145978153
28,7.0,14.0,20.0,9.0,0.14101291
29,1.0,1.0,27.0,5.0,0.139026812
30,15.0,0.0,1.0,0.0,0.11817279
31,10.0,7.0,7.25,1.75,0.117179742
32,1.0,1.0,4.0,0.5,0.100297915
33,0.0,2.0,13.5,6.0,0.090367428
34,17.0,0.0,27.5,0.0,0.076464747
35,0.0,0.0,1.25,0.0,0.070506455
36,13.0,8.0,17.0,2.0,0.056603774
37,19.0,0.0,0.25,0.0,0.046673287
38,5.0,2.0,4.25,0.0,0.046673287
39,49.0,1.0,1.25,0.0,0.007944389
40,6.0,85.0,0.0,10.0,0.007944389
41,0.0,0.0,10.5,0.0,0.016881827
42,21.0,0.0,6.0,2.0,0.0367428
43,0.0,1.0,10.5,3.25,0.040714995
44,0.0,0.0,7.0,0.0,0.048659384
45,0.0,2.0,3.0,0.0,0.049652433
46,47.0,2.0,5.25,0.0,0.054617676
47,13.0,0.0,0.0,0.0,0.088381331
48,10.0,2.0,10.0,0.0,0.092353525
49,0.0,1.0,11.0,4.0,0.112214499
50,0.0,12.0,0.0,0.0,2.048659384
51,44.0,3.0,1.5,0.0,2.286991063
52,16.0,7.0,0.0,15.0,2.298907646
53,36.0,19.0,40.0,10.0,2.371400199
54,25.0,0.0,10.0,3.5,2.610724926
55,0.0,0.0,6.25,1.25,2.747765641
56,2.0,0.0,7.0,2.0,2.793445879
57,1.0,0.0,2.5,0.0,2.889771599
58,12.0,0.0,3.5,0.0,2.932472691
59,-2.0,2.0,4.5,0.0,2.947368421
60,32.0,2.0,2.75,0.0,2.972194638
61,17.0,0.0,4.0,0.0,3.17775571
62,2.0,1.0,2.0,0.0,3.289970209
63,11.0,3.0,17.0,0.25,3.791459782
64,25.0,0.0,0.0,0.0,4.863952334
65,41.0,4.0,12.0,1.0,5.266137041
66,3.0,2.0,5.0,1.0,5.444885799
67,0.0,0.0,19.0,0.0,5.623634558
68,4.0,5.0,14.5,1.25,5.936444886
69,0.0,0.0,5.0,5.0,6.273088381
70,3.0,2.0,2.0,3.0,6.579940417
71,17.0,1.0,11.0,0.25,6.69612711
72,12.0,0.0,2.0,0.0,7.440913605
73,0.0,0.0,0.0,1.0,9.084409136
74,8.0,5.0,0.0,0.0,9.765640516
