,E,K,TD
0,7108.82,6.02,148.0
1,1308.08,0.897,31.0
2,18170.0,53.858,209.0
3,7006.0,,228.0
4,9434.0,14.0,373.0
5,9440.95,14.0,167.0
6,13888.26667,21.0,204.0
7,8822.0,5.794,53.0
8,2192.0,2.474,17.0
9,4410.0,4.843,29.0
10,14196.0,4.371,71.0
11,13387.5,18.995,90.0
12,25449.6,49.097,129.0
13,33472.0,58.3,672.0
14,34892.65,154.0,1768.0
15,7121.0,26.67,109.0
16,13680.0,33.0,688.0
17,32365.98,155.2,1906.0
18,12387.65,87.0,476.0
19,52660.0,50.0,928.0
20,18748.0,22.0,196.0
21,28206.0,44.0,184.0
22,53995.0,61.0,680.0
23,24895.0,99.0,1597.0
24,6905.75,23.0,546.0
25,1642.0,,261.0
26,14602.0,52.0,412.0
27,8581.0,36.0,881.0
28,3764.0,11.0,91.0
29,1976.0,1.0,5.0
30,15691.0,33.0,653.0
