,equivphyskloc,act_effort
0,25.9,117.6
1,24.6,117.6
2,7.7,31.2
3,8.2,36.0
4,9.7,25.2
5,2.2,8.4
6,3.5,10.8
7,66.6,352.8
8,7.5,72.0
9,20.0,72.0
10,6.0,24.0
11,100.0,360.0
12,11.3,36.0
13,100.0,215.0
14,20.0,48.0
15,100.0,360.0
16,150.0,324.0
17,31.5,60.0
18,15.0,48.0
19,32.5,60.0
20,19.7,60.0
21,66.6,300.0
22,29.5,120.0
23,15.0,90.0
24,38.0,210.0
25,10.0,48.0
26,15.4,70.0
27,48.5,239.0
28,16.3,82.0
29,12.8,62.0
30,32.6,170.0
31,35.5,192.0
32,5.5,18.0
33,10.4,50.0
34,14.0,60.0
35,6.5,42.0
36,13.0,60.0
37,90.0,444.0
38,8.0,42.0
39,16.0,114.0
40,177.9,1248.0
41,302.0,2400.0
42,282.1,1368.0
43,284.7,973.0
44,79.0,400.0
45,423.0,2400.0
46,190.0,420.0
47,47.5,252.0
48,21.0,107.0
49,78.0,571.4
50,11.4,98.8
51,19.3,155.0
52,101.0,750.0
53,219.0,2120.0
54,50.0,370.0
55,227.0,1181.0
56,70.0,278.0
57,0.9,8.4
58,980.0,4560.0
59,350.0,720.0
60,70.0,458.0
61,271.0,2460.0
62,90.0,162.0
63,40.0,150.0
64,137.0,636.0
65,150.0,882.0
66,339.0,444.0
67,240.0,192.0
68,144.0,576.0
69,151.0,432.0
70,34.0,72.0
71,98.0,300.0
72,85.0,300.0
73,20.0,240.0
74,111.0,600.0
75,162.0,756.0
76,352.0,1200.0
77,165.0,97.0
78,60.0,409.0
79,100.0,703.0
80,32.0,1350.0
81,53.0,480.0
82,41.0,599.0
83,24.0,430.0
84,165.0,4178.2
85,65.0,1772.5
86,70.0,1645.9
87,50.0,1924.5
88,7.25,648.0
89,233.0,8211.0
90,16.3,480.0
91,6.2,12.0
92,3.0,38.0
