,R,LF,M,NW,W,X
0,79.1,510.0,950.0,301.0,394.0,261.0
1,163.5,583.0,1012.0,102.0,557.0,194.0
2,57.8,533.0,969.0,219.0,318.0,250.0
3,196.9,577.0,994.0,80.0,673.0,167.0
4,123.4,591.0,985.0,30.0,578.0,174.0
5,68.2,547.0,964.0,44.0,689.0,126.0
6,96.3,519.0,982.0,139.0,620.0,168.0
7,155.5,542.0,969.0,179.0,472.0,206.0
8,85.6,553.0,955.0,286.0,421.0,239.0
9,70.5,632.0,1029.0,15.0,526.0,174.0
10,167.4,580.0,966.0,106.0,657.0,170.0
11,84.9,595.0,972.0,59.0,580.0,172.0
12,51.1,624.0,972.0,10.0,507.0,206.0
13,66.4,595.0,986.0,46.0,529.0,190.0
14,79.8,530.0,986.0,72.0,405.0,264.0
15,94.6,497.0,956.0,321.0,427.0,247.0
16,53.9,537.0,977.0,6.0,487.0,166.0
17,92.9,537.0,978.0,170.0,631.0,165.0
18,75.0,536.0,934.0,24.0,627.0,135.0
19,122.5,567.0,985.0,94.0,626.0,166.0
20,74.2,602.0,984.0,12.0,557.0,195.0
21,43.9,512.0,962.0,423.0,288.0,276.0
22,121.6,564.0,953.0,92.0,513.0,227.0
23,96.8,574.0,1038.0,36.0,540.0,176.0
24,52.3,641.0,984.0,26.0,486.0,196.0
25,199.3,631.0,1071.0,77.0,674.0,152.0
26,34.2,540.0,965.0,4.0,564.0,139.0
27,121.6,571.0,1018.0,79.0,537.0,215.0
28,104.3,521.0,938.0,89.0,637.0,154.0
29,69.6,521.0,973.0,254.0,396.0,237.0
30,37.3,535.0,1045.0,20.0,453.0,200.0
31,75.4,586.0,964.0,82.0,617.0,163.0
32,107.2,560.0,972.0,95.0,462.0,233.0
33,92.3,542.0,990.0,21.0,589.0,166.0
34,65.3,526.0,948.0,76.0,572.0,158.0
35,127.2,531.0,964.0,24.0,559.0,153.0
36,83.1,638.0,974.0,349.0,382.0,254.0
37,56.6,599.0,1024.0,40.0,425.0,225.0
38,82.6,515.0,953.0,165.0,395.0,251.0
39,115.1,560.0,981.0,126.0,488.0,228.0
40,88.0,601.0,998.0,19.0,590.0,144.0
41,54.2,523.0,968.0,2.0,489.0,170.0
42,82.3,522.0,996.0,208.0,496.0,224.0
43,103.0,574.0,1012.0,36.0,622.0,162.0
44,45.5,480.0,968.0,49.0,457.0,249.0
45,50.8,599.0,989.0,24.0,593.0,171.0
46,84.9,623.0,1049.0,22.0,588.0,160.0
