,Range,Tree_Height,Acorn_size
0,24196.0,27.0,1.4
1,7900.0,21.0,3.4
2,23038.0,25.0,9.1
3,17042.0,3.0,1.6
4,7646.0,24.0,10.5
5,19938.0,17.0,2.5
6,7985.0,15.0,0.9
7,8897.0,0.3,6.8
8,8982.0,24.0,1.8
9,233.0,11.0,0.3
10,1598.0,15.0,0.9
11,1745.0,23.0,0.8
12,17042.0,24.0,2.0
13,4082.0,3.0,1.1
14,3775.0,13.0,0.6
15,13688.0,30.0,1.8
16,3978.0,9.0,4.8
17,5328.0,27.0,1.1
18,18480.0,9.0,3.6
19,10161.0,24.0,1.1
20,8643.0,23.0,1.1
21,9920.0,27.0,3.6
22,28389.0,24.0,8.1
23,21067.0,23.0,3.6
24,14870.0,18.0,1.8
25,2540.0,9.0,0.4
26,829.0,9.0,1.1
27,8992.0,4.0,1.2
28,559.0,18.0,4.1
29,433.0,6.0,1.6
30,259.0,17.0,2.0
31,1061.0,20.0,5.5
32,870.0,30.0,5.9
33,803.0,23.0,2.6
34,826.0,26.0,6.0
35,699.0,21.0,1.0
36,690.0,15.0,17.1
37,223.0,1.0,0.4
38,13.0,18.0,7.1
