,average.salary,full.prof.salary,assoc.prof.salary,asst.prof.salary
0,64.47,83.0,57.5,46.1
1,59.2,78.9,49.7,42.5
2,58.77,75.4,51.4,43.8
3,55.94,70.2,50.8,41.5
4,75.54,93.3,70.0,56.4
5,63.01,79.3,55.0,49.4
6,57.65,70.96,52.35,44.86
7,54.91,71.6,47.8,39.5
8,54.01,70.3,45.7,40.8
9,58.94,75.5,51.7,43.9
10,51.33,63.5,46.0,40.3
11,55.86,69.5,50.4,42.8
12,71.09,91.2,64.4,50.0
13,53.69,64.9,49.6,42.4
14,72.33,90.5,64.1,56.2
15,59.05,73.1,54.0,44.8
16,66.53,92.7,54.9,43.0
17,53.95,67.1,49.7,40.0
18,54.71,70.2,47.9,40.7
19,67.16,86.9,57.3,50.9
20,64.69,90.2,52.3,43.2
21,53.55,65.5,48.4,42.6
22,54.48,68.8,49.1,40.3
23,66.8,79.8,53.7,44.8
24,53.94,67.1,48.4,41.7
25,53.45,66.5,47.6,41.8
26,56.22,71.4,50.8,40.8
27,70.11,96.5,55.7,50.0
28,64.63,82.6,57.3,47.6
29,47.11,56.7,42.7,38.7
30,51.96,65.7,46.9,38.2
31,58.82,76.8,51.4,41.9
32,57.75,72.9,50.9,44.3
33,56.33,72.4,49.4,41.6
34,68.76,87.0,61.6,51.1
35,58.07,73.0,53.7,41.6
36,54.63,68.8,48.7,41.0
37,53.33,67.1,48.3,39.5
38,50.78,63.0,46.1,38.8
39,50.97,62.4,47.3,38.8
40,61.67,77.9,55.2,46.1
41,45.76,55.9,41.8,35.9
42,59.16,76.9,51.5,42.9
43,53.15,66.7,46.9,41.3
44,45.75,56.1,42.0,35.3
45,59.3,75.0,50.5,43.0
46,52.06,65.3,46.3,40.0
47,48.85,61.0,44.0,37.2
48,66.31,85.1,56.8,51.0
49,63.22,83.4,55.8,43.0
