,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,y
5670,0.21866953,-0.41352801,-1.2524999,0.31091257,0.14436261,0.10110545,-0.47933955,-0.45077634,0.98661326
5369,-1.3962421,0.91139587,-0.7114122,-0.83159991,0.7822792,0.37412969,-0.76618343,0.93170941,1.1281729
2111,0.13999182,0.47233473,0.22516165,1.062889,-1.2420122,0.00090960808,0.1068633,1.5207683,0.70635852
6659,-0.37524912,-1.0473743,-1.3193683,-0.7025224,0.47900512,0.46462261,1.0567611,-0.94438938,0.73741319
5227,-0.63235852,0.35313428,-1.238998,1.4440032,-0.39506566,1.1484861,-0.50415221,0.61055296,0.45144399
940,-0.26337665,-1.4230377,0.33641442,-0.80347193,1.0928673,-1.0717713,1.0505517,-0.37603314,1.0338823
7702,1.4276641,-0.5892261,0.56167514,-0.8394244,0.39934555,-0.40841047,-0.60614398,-1.2809237,0.70030463
3542,0.66926958,-0.84468901,0.4611042,0.46932265,-1.1304931,0.49753788,-0.18786842,0.29891492,0.54849691
2184,-0.089793757,-0.74849447,-0.57566388,1.0419839,0.061814685,-0.15080641,0.38773896,1.4960589,0.89943106
7278,-0.67810365,1.3940326,-0.56814216,0.77459397,1.0913226,-0.76910537,0.62057872,0.47058985,1.1755284
318,0.33207651,0.91347052,-0.85243017,1.3260639,-0.21788778,1.1282901,-0.15092282,-0.52850963,0.6119126
5114,1.0109121,0.048036154,1.2602568,-1.5015646,0.99274364,0.06509173,-1.1563078,-0.8527337,0.59742335
8078,1.3247448,0.99955259,0.65869292,-0.14585462,-1.3178034,0.64498186,-0.78874575,0.0022390832,0.46657722
7585,0.66496804,-0.99600211,1.2019726,-0.94577554,-1.5244991,0.86794753,0.10675123,-1.2997204,0.29732884
7123,0.31658956,0.11657029,0.29674894,0.61740227,-1.246258,-0.27899249,-1.1213248,1.1971609,0.77442178
8057,0.05298892,-0.39197721,-1.0713615,-0.68136255,0.14717255,-1.0932151,1.4603932,0.31724179,1.1239884
2515,-0.4743606,1.4996195,-1.2821474,-0.44872833,0.93235926,1.2930178,0.93708556,0.88183831,0.84704876
7668,-1.0230268,-0.066209986,0.5299356,-0.28625469,0.96752106,0.066277907,-0.23834064,0.84941662,0.88890015
3734,0.78078419,-0.082823004,-0.82107083,-0.15115038,1.4169243,0.35268068,0.90527714,-0.069342853,0.9528564
7283,-1.2376861,1.4593602,0.37827192,0.50854293,0.033243323,-0.1540722,-0.066439164,1.2551373,0.85198333
6689,-0.24779974,-1.2984107,0.14657507,0.89606403,-1.5693609,-1.5416306,0.35731343,-0.076290536,1.0303809
2927,-0.84469576,-1.0778942,1.0968057,-0.65904466,-0.16470417,1.1243885,-0.48811552,-1.4579584,0.48517692
8139,0.30769641,0.67932614,1.5485668,1.2274101,-1.2729012,-1.5150627,-0.65283849,-0.36228982,0.72189488
3317,0.2653757,0.13662799,-1.3558613,0.65436632,-0.22534182,-0.5996572,-0.18188992,0.23938579,0.9305579
6561,0.66040675,-1.1230382,-1.018389,1.4279012,-1.1469164,0.8095532,0.092795737,1.3632517,0.50018691
1643,-0.38747835,-0.70933992,1.2844088,-1.246598,1.2032035,-0.050110822,1.4458263,0.11608173,0.63792046
1400,1.5003259,-0.99983745,-0.31002742,-1.234337,0.27879422,1.4338354,0.3259236,0.85558897,1.0301195
1670,-1.279202,0.3905068,1.0082688,0.27258583,-1.2544677,0.071015627,-1.4676625,-0.88209374,0.72962804
