,GMAT,grade_point_average
0,590,3.252
1,550,3.329
2,680,3.319
3,520,3.133
4,560,2.986
5,540,3.505
6,500,2.648
7,600,3.09
8,440,3.205
9,680,3.876
10,520,3.376
11,610,3.667
12,490,3.195
13,620,2.957
14,580,3.114
15,600,2.968
16,420,2.533
17,590,3.324
18,570,3.681
19,640,3.757
20,540,3.481
21,530,3.457
22,660,3.89
23,540,3.586
24,570,3.433
25,710,3.613
26,450,2.733
27,480,2.755
28,650,2.643
29,580,3.535
30,630,3.256
31,590,3.557
32,550,2.985
33,590,3.1
34,610,3.238
35,490,3.235
36,600,3.633
37,570,3.225
38,580,3.225
39,520,3.376
40,610,3.379
41,620,3.393
42,530,3.224
43,670,3.776
44,550,3.367
45,530,3.148
46,500,3.267
47,570,3.905
48,570,2.829
49,640,3.338
50,600,3.329
51,550,3.381
52,720,3.476
53,570,3.005
54,570,2.819
55,610,3.362
56,530,2.976
57,720,3.72
58,580,3.409
59,610,2.835
60,470,3.905
