,TIME,T20BOLT
0,5.7,11.4
1,17.56,35.12
2,11.28,22.56
3,8.39,16.78
4,16.67,33.34
5,12.04,24.08
6,9.22,18.44
7,3.94,7.88
8,27.02,18.01
9,19.46,12.97
10,18.54,12.36
11,25.7,17.13
12,19.02,12.68
13,22.39,14.93
14,23.85,15.9
15,30.12,20.08
16,13.42,26.84
17,34.26,68.52
18,39.74,79.48
19,10.6,21.2
20,28.89,57.78
21,35.61,71.22
22,17.2,34.4
23,6.0,12.0
24,129.45,86.3
25,107.38,71.59
26,111.66,74.44
27,109.1,72.73
28,100.43,66.95
29,109.28,72.85
30,106.46,70.97
31,134.01,89.34
32,10.78,10.78
33,9.39,9.39
34,9.84,9.84
35,13.94,13.94
36,12.33,12.33
37,7.32,7.32
38,7.91,7.91
39,15.58,15.58
