,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,bore,price
0,164.0,99.8,176.6,66.2,54.3,2337.0,109.0,3.19,13950.0
1,164.0,99.4,176.6,66.4,54.3,2824.0,136.0,3.19,17450.0
2,158.0,105.8,192.7,71.4,55.7,2844.0,136.0,3.19,17710.0
3,158.0,105.8,192.7,71.4,55.9,3086.0,131.0,3.13,23875.0
4,192.0,101.2,176.8,64.8,54.3,2395.0,108.0,3.5,16430.0
5,192.0,101.2,176.8,64.8,54.3,2395.0,108.0,3.5,16925.0
6,188.0,101.2,176.8,64.8,54.3,2710.0,164.0,3.31,20970.0
7,188.0,101.2,176.8,64.8,54.3,2765.0,164.0,3.31,21105.0
8,121.0,88.4,141.1,60.3,53.2,1488.0,61.0,2.91,5151.0
9,98.0,94.5,155.9,63.6,52.0,1874.0,90.0,3.03,6295.0
10,81.0,94.5,158.8,63.6,52.0,1909.0,90.0,3.03,6575.0
11,118.0,93.7,157.3,63.8,50.8,1876.0,90.0,2.97,5572.0
12,118.0,93.7,157.3,63.8,50.8,1876.0,90.0,2.97,6377.0
13,118.0,93.7,157.3,63.8,50.8,2128.0,98.0,3.03,7957.0
14,148.0,93.7,157.3,63.8,50.6,1967.0,90.0,2.97,6229.0
15,148.0,93.7,157.3,63.8,50.6,1989.0,90.0,2.97,6692.0
16,148.0,93.7,157.3,63.8,50.6,1989.0,90.0,2.97,7609.0
17,110.0,103.3,174.6,64.6,59.8,2535.0,122.0,3.34,8921.0
18,145.0,95.9,173.2,66.3,50.2,2811.0,156.0,3.6,12964.0
19,137.0,86.6,144.6,63.9,50.8,1713.0,92.0,2.91,6479.0
20,137.0,86.6,144.6,63.9,50.8,1819.0,92.0,2.91,6855.0
21,101.0,93.7,150.0,64.0,52.6,1837.0,79.0,2.91,5399.0
22,101.0,93.7,150.0,64.0,52.6,1940.0,92.0,2.91,6529.0
23,101.0,93.7,150.0,64.0,52.6,1956.0,92.0,2.91,7129.0
24,110.0,96.5,163.4,64.0,54.5,2010.0,92.0,2.91,7295.0
25,78.0,96.5,157.1,63.9,58.3,2024.0,92.0,2.92,7295.0
26,106.0,96.5,167.5,65.2,53.3,2236.0,110.0,3.15,7895.0
27,106.0,96.5,167.5,65.2,53.3,2289.0,110.0,3.15,9095.0
28,85.0,96.5,175.4,65.2,54.1,2304.0,110.0,3.15,8845.0
29,85.0,96.5,175.4,62.5,54.1,2372.0,110.0,3.15,10295.0
30,85.0,96.5,175.4,65.2,54.1,2465.0,110.0,3.15,12945.0
31,107.0,96.5,169.1,66.0,51.0,2293.0,110.0,3.15,10345.0
32,145.0,113.0,199.6,69.6,52.8,4066.0,258.0,3.63,32250.0
33,104.0,93.1,159.1,64.2,54.1,1890.0,91.0,3.03,5195.0
34,104.0,93.1,159.1,64.2,54.1,1900.0,91.0,3.03,6095.0
35,104.0,93.1,159.1,64.2,54.1,1905.0,91.0,3.03,6795.0
36,113.0,93.1,166.8,64.2,54.1,1945.0,91.0,3.03,6695.0
37,113.0,93.1,166.8,64.2,54.1,1950.0,91.0,3.08,7395.0
38,129.0,98.8,177.8,66.5,53.7,2385.0,122.0,3.39,8845.0
39,115.0,98.8,177.8,66.5,55.5,2410.0,122.0,3.39,8495.0
40,129.0,98.8,177.8,66.5,53.7,2385.0,122.0,3.39,10595.0
41,115.0,98.8,177.8,66.5,55.5,2410.0,122.0,3.39,10245.0
42,115.0,98.8,177.8,66.5,55.5,2425.0,122.0,3.39,11245.0
43,118.0,104.9,175.0,66.1,54.4,2670.0,140.0,3.76,18280.0
44,93.0,110.0,190.9,70.3,56.5,3515.0,183.0,3.58,25552.0
45,93.0,110.0,190.9,70.3,58.7,3750.0,183.0,3.58,28248.0
46,93.0,106.7,187.5,70.3,54.9,3495.0,183.0,3.58,28176.0
47,93.0,115.6,202.6,71.7,56.3,3770.0,183.0,3.58,31600.0
48,142.0,96.6,180.3,70.5,50.8,3685.0,234.0,3.46,35056.0
49,161.0,93.7,157.3,64.4,50.8,1918.0,92.0,2.97,5389.0
50,161.0,93.7,157.3,64.4,50.8,1944.0,92.0,2.97,6189.0
51,161.0,93.7,157.3,64.4,50.8,2004.0,92.0,2.97,6669.0
52,161.0,93.0,157.3,63.8,50.8,2145.0,98.0,3.03,7689.0
53,153.0,96.3,173.0,65.4,49.4,2370.0,110.0,3.17,9959.0
54,153.0,96.3,173.0,65.4,49.4,2328.0,122.0,3.35,8499.0
55,125.0,96.3,172.4,65.4,51.6,2365.0,122.0,3.35,6989.0
56,125.0,96.3,172.4,65.4,51.6,2405.0,122.0,3.35,8189.0
57,125.0,96.3,172.4,65.4,51.6,2403.0,110.0,3.17,9279.0
58,137.0,96.3,172.4,65.4,51.6,2403.0,110.0,3.17,9279.0
59,128.0,94.5,165.3,63.8,54.5,1889.0,97.0,3.15,5499.0
60,128.0,94.5,165.3,63.8,54.5,2017.0,103.0,2.99,7099.0
61,128.0,94.5,165.3,63.8,54.5,1918.0,97.0,3.15,6649.0
62,122.0,94.5,165.3,63.8,54.5,1938.0,97.0,3.15,6849.0
63,103.0,94.5,170.2,63.8,53.5,2024.0,97.0,3.15,7349.0
64,128.0,94.5,165.3,63.8,54.5,1951.0,97.0,3.15,7299.0
65,128.0,94.5,165.6,63.8,53.3,2028.0,97.0,3.15,7799.0
66,122.0,94.5,165.3,63.8,54.5,1971.0,97.0,3.15,7499.0
67,103.0,94.5,170.2,63.8,53.5,2037.0,97.0,3.15,7999.0
68,168.0,95.1,162.4,63.8,53.3,2008.0,97.0,3.15,8249.0
69,106.0,97.2,173.4,65.2,54.7,2324.0,120.0,3.33,8949.0
70,106.0,97.2,173.4,65.2,54.7,2302.0,120.0,3.33,9549.0
71,128.0,100.4,181.7,66.5,55.1,3095.0,181.0,3.43,13499.0
72,108.0,100.4,184.6,66.5,56.1,3296.0,181.0,3.43,14399.0
73,108.0,100.4,184.6,66.5,55.1,3060.0,181.0,3.43,13499.0
74,194.0,91.3,170.7,67.9,49.7,3071.0,181.0,3.43,17199.0
75,194.0,91.3,170.7,67.9,49.7,3139.0,181.0,3.43,19699.0
76,231.0,99.2,178.5,67.9,49.7,3139.0,181.0,3.43,18399.0
77,161.0,107.9,186.7,68.4,56.7,3020.0,120.0,3.46,11900.0
78,161.0,107.9,186.7,68.4,56.7,3197.0,152.0,3.7,13200.0
79,161.0,107.9,186.7,68.4,56.7,3075.0,120.0,3.46,15580.0
80,161.0,107.9,186.7,68.4,56.7,3252.0,152.0,3.7,16900.0
81,161.0,107.9,186.7,68.4,56.7,3075.0,120.0,3.46,16630.0
82,161.0,107.9,186.7,68.4,56.7,3252.0,152.0,3.7,17950.0
83,161.0,108.0,186.7,68.3,56.0,3130.0,134.0,3.61,18150.0
84,119.0,93.7,157.3,63.8,50.8,1918.0,90.0,2.97,5572.0
85,119.0,93.7,157.3,63.8,50.8,2128.0,98.0,3.03,7957.0
86,154.0,93.7,157.3,63.8,50.6,1967.0,90.0,2.97,6229.0
87,154.0,93.7,167.3,63.8,50.8,1989.0,90.0,2.97,6692.0
88,154.0,93.7,167.3,63.8,50.8,2191.0,98.0,2.97,7609.0
89,74.0,103.3,174.6,64.6,59.8,2535.0,122.0,3.35,8921.0
90,186.0,94.5,168.9,68.3,50.2,2778.0,151.0,3.94,22018.0
