,NC,SC,NWC,TE
0,1.65,1.8,3.33,1.69
1,1.09,0.79,1.59,0.74
2,2.39,0.36,2.06,0.81
3,2.96,1.27,4.05,1.44
4,4.16,2.16,6.0,2.48
5,2.76,0.87,4.17,0.84
6,1.08,0.85,3.45,0.37
7,0.26,0.47,0.9,0.37
8,2.53,1.08,3.65,1.33
9,2.76,3.1,5.06,3.38
10,1.07,0.64,1.95,0.69
11,1.42,1.08,1.22,1.42
12,0.24,0.44,0.94,0.44
13,0.7,0.67,0.94,0.76
14,0.97,1.66,2.21,1.13
15,1.06,1.13,1.46,0.88
16,0.13,0.27,0.35,0.17
17,0.1,0.3,0.34,0.25
18,0.38,0.58,0.67,0.78
19,0.45,0.43,0.44,0.4
20,0.42,0.47,0.53,0.52
21,2.24,4.02,2.52,2.73
22,0.52,1.32,2.18,0.9
23,0.94,1.59,1.73,1.62
24,1.19,0.85,2.31,0.93
25,0.76,0.71,1.28,0.63
26,0.13,0.59,0.91,0.42
27,1.5,0.24,1.15,0.64
28,1.03,0.22,1.88,0.3
29,1.87,0.58,2.97,0.88
30,1.85,1.36,2.17,0.76
31,2.04,0.71,2.22,1.25
32,1.44,1.0,1.64,1.08
33,1.46,1.48,0.4,1.11
34,5.08,1.77,4.2,3.43
35,0.66,0.73,0.91,0.54
36,0.49,0.55,0.51,0.39
37,3.27,2.68,3.6,2.53
38,1.33,0.43,2.18,0.81
39,0.25,0.46,0.89,0.39
40,0.69,0.49,0.69,0.86
41,2.12,0.95,1.82,2.16
42,1.45,1.47,2.2,1.7
43,2.13,1.13,2.33,1.22
44,0.02,0.08,0.24,0.07
45,0.36,0.87,0.57,0.49
46,0.72,0.99,0.98,0.71
47,1.02,1.89,2.47,1.67
48,0.18,1.42,0.71,0.73
49,1.83,1.82,3.11,1.79
50,0.08,0.4,0.57,0.19
51,0.0,0.04,0.04,0.0
52,0.83,0.38,0.7,0.44
53,0.01,0.44,0.66,0.31
54,2.65,0.85,1.48,0.96
55,1.27,1.39,1.2,1.04
56,0.01,0.23,0.1,0.05
57,0.35,0.75,0.2,0.04
58,1.8,1.62,3.02,1.83
59,4.44,1.05,3.59,2.24
60,2.84,2.44,4.48,2.5
61,2.05,1.3,4.04,1.1
62,3.01,1.66,4.56,1.83
63,2.58,1.21,3.95,1.41
64,2.22,0.61,2.68,0.74
65,0.07,2.26,2.08,1.09
66,1.62,1.16,2.87,0.79
67,4.34,3.29,6.4,4.06
68,1.03,0.58,1.77,0.4
69,1.5,0.41,2.56,0.76
70,1.52,1.62,2.86,1.53
71,0.37,1.25,1.74,0.56
72,2.14,1.0,4.39,1.74
73,2.36,1.53,3.03,1.59
74,1.71,2.03,3.24,1.91
75,2.12,2.77,4.44,2.09
76,1.38,2.11,3.01,1.59
77,0.21,1.41,0.8,0.66
78,0.48,0.59,0.68,0.68
79,0.01,0.65,0.48,0.46
80,0.15,0.13,0.42,0.22
81,1.32,0.57,1.54,1.11
82,2.26,1.04,1.27,1.76
83,5.95,3.97,5.37,5.12
84,0.19,0.28,0.7,0.12
85,0.31,0.23,0.83,0.37
86,1.44,3.14,0.86,4.97
87,0.3,0.72,1.38,0.57
88,0.11,0.14,0.58,0.13
89,3.66,1.84,5.36,2.47
90,1.14,0.81,2.09,1.01
91,1.3,0.34,2.45,0.55
92,0.05,0.38,0.9,0.24
93,1.84,1.73,2.33,2.36
94,4.24,1.67,5.48,2.35
95,1.99,1.9,3.67,2.23
96,2.44,1.52,4.01,1.16
97,2.21,2.36,3.25,1.63
98,0.8,2.25,2.79,1.08
99,9.42,3.6,7.84,6.0
100,2.74,3.03,6.39,2.67
101,0.0,0.19,0.06,0.36
102,0.96,0.64,1.24,0.58
103,1.38,1.86,2.91,1.36
104,1.22,2.28,1.58,1.17
105,2.46,2.47,2.39,2.37
106,0.05,0.02,0.09,0.02
107,0.61,0.87,1.35,0.92
