,assists_per_minute,time_played,points_per_minute
0,0.0888,36.02,0.5885
1,0.1399,39.32,0.8291
2,0.0747,38.8,0.4974
3,0.0983,40.71,0.5772
4,0.1276,38.4,0.5703
5,0.1671,34.1,0.5835
6,0.1906,36.2,0.5276
7,0.1061,36.75,0.5523
8,0.2446,38.43,0.4007
9,0.167,33.54,0.477
10,0.2485,35.01,0.4313
11,0.1227,36.67,0.4909
12,0.124,33.88,0.5668
13,0.1461,35.59,0.5113
14,0.2315,38.01,0.3788
15,0.0494,32.38,0.559
16,0.1107,35.22,0.4799
17,0.2521,31.73,0.5735
18,0.1007,28.81,0.6318
19,0.1067,35.6,0.4326
20,0.1956,35.28,0.428
21,0.1828,29.54,0.4401
22,0.1627,31.35,0.5581
23,0.1403,33.5,0.4866
24,0.1563,34.56,0.5267
25,0.2681,39.53,0.5439
26,0.1236,26.7,0.4419
27,0.13,30.77,0.3998
28,0.0896,25.67,0.4325
29,0.2071,36.22,0.4086
30,0.2244,36.55,0.4624
31,0.3437,34.91,0.4325
32,0.1058,28.35,0.4903
33,0.2326,33.53,0.4802
34,0.1577,31.07,0.4345
35,0.2327,36.52,0.4819
36,0.1256,27.87,0.6244
37,0.107,24.31,0.3991
38,0.1343,31.26,0.4414
39,0.0586,22.18,0.4013
40,0.2383,35.25,0.3801
41,0.1006,22.87,0.3498
42,0.2164,24.49,0.3185
43,0.1485,23.57,0.3097
44,0.227,31.72,0.4319
45,0.1649,27.9,0.3799
46,0.1188,22.74,0.4091
47,0.194,20.62,0.3588
48,0.2495,30.46,0.4727
49,0.2378,32.38,0.3212
50,0.1592,25.75,0.3418
51,0.2069,33.84,0.4285
52,0.2084,27.83,0.3917
53,0.0877,21.67,0.5769
54,0.101,21.79,0.4773
55,0.0942,20.17,0.4512
56,0.055,29.07,0.3096
57,0.1071,24.28,0.3089
58,0.0728,19.24,0.4573
59,0.2771,27.07,0.3214
60,0.0528,18.95,0.5437
61,0.213,21.59,0.4121
62,0.1356,13.27,0.2185
63,0.1043,16.3,0.3313
64,0.113,23.01,0.3302
65,0.1477,20.31,0.4677
66,0.1317,17.46,0.2406
67,0.2187,21.95,0.3007
68,0.2127,14.57,0.2471
69,0.2547,34.55,0.2894
70,0.1591,22.0,0.3682
71,0.0898,13.37,0.389
72,0.2146,20.51,0.512
73,0.1871,19.78,0.4449
74,0.1528,16.36,0.4035
75,0.156,16.03,0.2683
76,0.2348,24.27,0.2719
77,0.1623,18.49,0.3408
78,0.1239,17.76,0.4393
79,0.2178,13.31,0.3004
80,0.1608,17.41,0.3503
81,0.0805,13.67,0.4388
82,0.1776,17.46,0.2578
83,0.1668,14.38,0.2989
84,0.1072,12.12,0.4455
85,0.1821,12.63,0.3087
86,0.188,12.24,0.3678
87,0.1167,12.0,0.3667
88,0.2617,24.46,0.3189
89,0.1994,20.06,0.4187
90,0.1706,17.0,0.5059
91,0.1554,11.58,0.3195
92,0.2282,10.08,0.2381
93,0.1778,18.56,0.2802
94,0.1863,11.81,0.381
95,0.1014,13.81,0.1593
