,theta1,theta2,theta3,thetad1,thetad2,thetad3,tau1,tau2,thetadd3
5670,-1.616866,-1.141131,-1.453111,-0.951244,0.633824,-1.089708,-0.15851,-0.076635,0.604405
5369,-0.067002,1.095922,-0.627977,1.338333,-1.69609,-1.877464,-0.11966,0.068336,-2.500225
2111,1.567644,-0.518156,-0.161146,-1.589282,-1.237929,0.268811,0.492914,-0.38956,-6.475072
6659,0.077986,-1.223272,1.561502,1.809846,-1.330251,1.808884,0.428595,-0.203427,2.120628
5227,-1.554673,-0.127813,0.687805,1.383569,0.831818,1.536512,0.082868,-0.430066,1.805043
940,1.244633,-0.69309,0.255095,0.991909,0.459959,-1.55822,0.179397,-0.480613,-5.897782
7702,0.701871,0.294089,0.395372,-1.343703,-1.85581,1.648477,0.27964,-0.486088,2.175979
3542,0.289286,-1.150217,0.407277,-1.053228,-1.867125,-0.036731,0.295998,-0.360894,-3.519416
2184,0.063933,0.102718,-0.237949,0.664786,-0.950307,1.305656,-0.157035,-0.489562,1.597562
7278,0.515411,-0.7463,-0.570654,-0.324677,-1.778407,-1.825243,-0.344875,-0.312972,-3.430332
318,0.971576,1.788714,1.650051,0.932357,-1.404069,1.456908,0.214942,0.533629,-0.356404
5114,-0.382673,-0.120221,0.120879,-0.365754,1.501664,-1.094779,0.315448,0.127802,-2.768254
8078,1.094225,1.017659,-0.297203,0.040247,1.613504,1.185168,-0.348375,-0.333884,6.909796
7585,0.23437,-0.493196,0.891088,-1.334259,-1.465819,0.347985,0.461278,-0.501859,3.205109
7123,-0.630559,-0.580068,-0.210402,-0.054413,1.56465,-1.827836,0.182212,0.045295,0.014077
8057,1.390569,1.615545,1.566265,-1.074143,0.983233,1.670584,-0.251933,0.556032,0.531946
2515,0.113902,-0.76527,1.038662,-1.673506,0.700043,-0.277083,-0.346966,0.544646,4.685206
7668,0.976423,0.323961,1.063286,1.273621,0.185095,0.712488,0.495208,-0.238387,9.854173
3734,1.275427,0.393358,-1.250807,-1.293416,-1.139547,-1.224307,-0.240731,0.425803,-4.00795
7283,1.875747,1.67724,1.74632,1.648011,0.59174,0.346898,-0.554506,-0.390073,-1.167093
6689,0.412071,0.35124,-0.395739,-1.066473,1.717672,-1.06939,0.54202,0.536109,0.532317
2927,-0.189571,-0.5461,1.425827,-1.456712,-1.156311,-0.222367,-0.425021,0.264769,5.954239
8139,0.427922,-0.904097,1.354611,0.459403,0.403416,-1.862605,0.171404,-0.410299,-2.603849
3317,1.253027,0.897472,0.400656,0.757272,0.249576,-1.294469,0.002726,0.221559,9.607162
6561,0.304348,-0.589105,-1.306274,1.417856,0.300119,-0.040902,-0.416752,0.046014,-6.362596
1643,0.874088,-0.554543,-0.990809,-0.829412,1.197729,-1.091662,0.190488,-0.061719,-2.808684
