,price_index_for_casoline,price_index_for_used_cars,gasoline_consumption
0,0.925,0.836,129.7
1,0.914,0.869,131.3
2,0.919,0.948,137.1
3,0.918,0.96,141.6
4,0.914,1.001,148.8
5,0.949,0.994,155.9
6,0.97,0.97,164.9
7,1.0,1.0,171.0
8,1.014,1.028,183.4
9,1.047,1.031,195.8
10,1.056,1.043,207.4
11,1.063,1.102,218.3
12,1.076,1.105,226.8
13,1.181,1.176,237.9
14,1.599,1.226,225.8
15,1.708,1.464,232.4
16,1.779,1.679,241.7
17,1.882,1.828,249.2
18,1.963,1.865,261.3
19,2.656,2.01,248.9
20,3.691,2.081,226.8
21,4.109,2.569,225.6
22,3.894,2.964,228.8
23,3.764,3.297,239.6
24,3.707,3.757,244.7
25,3.738,3.797,245.8
26,2.921,3.632,269.4
