,theta1,theta2,theta3,theta4,theta5,theta6,thetad1,thetad2,thetad3,thetad4,thetad5,thetad6,tau1,tau2,tau3,tau4,tau5,dm1,dm2,dm3,dm4,dm5,da1,da2,da3,da4,da5,db1,db2,db3,db4,db5,thetadd6
5670,1.97662,-1.281541,1.462136,-0.988573,0.936092,-1.776513,-0.156573,-2.009173,0.804545,2.146224,-1.746244,-0.364405,49.314181,73.437033,56.209118,6.63846,-27.40369,0.267752,1.611373,0.588435,0.332595,2.428962,1.06409,0.409609,0.801117,1.87026,2.466626,1.83155,2.112269,1.908638,1.722466,2.480208,-0.001337
5369,-0.311307,-1.38293,-1.407496,0.40903,-0.805062,-1.40273,0.401622,1.919609,1.850252,0.135279,2.258555,1.247213,38.037267,-7.64558,50.737307,-8.089471,-59.742146,1.581206,2.078803,1.949142,0.735214,1.239583,2.414219,0.783935,1.101765,1.356456,2.448534,1.51847,0.673842,0.269789,2.091482,1.28129,0.017248
2111,1.79334,0.220557,-1.752702,-0.515879,0.411922,0.673616,2.299605,-1.560043,0.082258,1.777883,-0.38439,0.23865,24.026057,5.940512,-57.806597,-5.472482,-26.011403,0.270159,1.562207,2.257009,2.303027,1.718625,0.929631,1.80662,1.620166,2.123917,1.918205,0.523373,0.334215,0.409432,2.331514,1.263847,0.002209
6659,-2.199607,-0.09577,2.028457,-1.857555,-0.35537,-2.101094,1.558367,0.008802,1.84328,0.765803,1.310256,0.4713,-12.152963,45.150703,-2.130907,35.844179,33.112402,1.677044,1.822644,0.922761,1.099546,2.320652,0.950712,0.623966,1.24943,1.421661,0.353176,1.837306,2.107457,2.035849,2.259756,1.222984,-0.038808
5227,0.227673,0.048037,1.535449,1.254042,-1.830556,1.02655,1.17284,-0.001156,-0.574377,2.137073,-0.049112,-0.75259,-23.43638,4.75406,-48.504829,29.339021,50.921318,0.39382,0.931988,0.918881,1.126469,0.311989,0.35752,0.594535,1.60655,0.527227,2.097636,1.223606,1.651825,0.968393,0.774081,1.977661,-0.000277
940,-0.341322,-1.618892,0.611662,-2.224534,0.358824,-1.095307,-2.229834,0.811029,-1.981598,-2.266516,1.614483,0.678568,22.583557,61.845836,-57.030592,-13.154471,12.803418,0.4306,0.349306,2.028313,1.604292,0.836039,1.559666,2.311619,2.13604,0.92542,0.784033,0.493993,1.542271,2.441205,2.086939,1.438379,0.000817
7702,0.462586,-0.759485,1.191718,1.554359,-1.379714,0.813514,2.086942,0.921933,0.591853,-0.579388,-1.980647,-0.425146,-45.794463,-17.546758,-8.360627,32.941903,4.559271,1.040075,1.796527,0.722964,2.358753,2.308587,0.670428,1.38348,2.151798,0.270865,2.180279,1.954128,1.270216,2.024989,1.989747,1.419651,-0.004757
3542,-0.966531,-0.875252,1.716079,2.324375,0.062943,2.305377,1.208518,1.163195,-1.879878,1.454284,-1.015801,0.412544,54.140809,44.572654,32.588786,69.726415,-58.145845,1.266629,2.488476,2.322102,0.567289,0.432998,2.392624,2.334478,1.573108,0.968484,2.318595,2.381307,1.123382,2.428068,1.796324,1.822919,-0.079305
2184,1.079674,-1.323925,0.690937,1.256411,0.291521,-1.297765,2.119567,-2.097976,2.124162,-0.273319,0.899009,1.733458,71.437949,57.610583,11.06252,-72.223774,-64.973808,1.153121,0.505471,0.944865,1.346009,2.373909,0.537736,0.972676,0.765692,0.482408,0.335283,0.354732,0.976122,2.425156,2.348425,1.972372,0.063041
7278,1.532469,-1.712005,0.181079,-0.814865,-1.236474,0.212974,-1.963345,-1.7916,0.74882,-1.368842,-0.24333,0.712243,37.986734,43.036437,13.391121,64.565658,55.009014,0.422571,0.401079,1.437585,2.489947,2.290689,1.367187,0.564571,1.99175,1.34283,0.691089,2.128848,1.551856,1.549026,1.228193,2.24743,-0.026358
