,x1,x2,x4,x5,x6,x9,y
8132,-4.33977,-14.5632,-7.28162,0.405501,-25.104,261.655,-29.4437
30149,-2.09808,-14.5848,-7.29239,0.117108,-31.5603,154.233,-33.6583
31594,-3.18263,-10.1225,-1.59132,0.964261,-7.34016,351.602,-1.59132
14019,3.54194,-11.4706,-5.73529,-0.886434,-18.9366,445.995,-15.3947
29561,4.59249,-11.6108,-5.8054,-0.665914,-21.72,495.822,-17.1275
17612,-1.76967,-14.3805,-7.19024,0.565279,-31.6922,216.306,-0.884837
2296,0.0451672,-10.7835,-5.39174,0.0572604,-20.7475,407.435,-20.7023
28233,0.614172,-11.9902,0.307086,0.904191,1.08309,313.19,0.307086
35787,4.68943,-12.9359,2.34471,0.491032,2.1772,282.206,2.34471
16063,2.59401,-14.7775,-7.38875,0.461119,-1.5323,162.19,1.06172
216,0.0168071,-13.2572,0.00840356,0.828098,0.00227442,423.969,0.00840356
37514,-4.53232,-10.6637,-2.26616,0.294475,-6.7458,185.969,-11.2781
13949,-2.48402,-13.0792,-1.24201,-0.335095,-5.64128,103.506,-8.1253
39262,3.58186,-11.4723,1.79093,0.0990521,5.37474,358.05,1.0
144,4.75492,-14.7633,2.37746,-0.0459434,5.8136,467.99,2.37746
1993,-0.822616,-11.0588,-0.411308,0.960553,-1.84714,327.837,-0.411308
24520,3.69934,-12.2342,-6.11708,0.824104,-0.0398461,453.032,1.84967
18470,0.139312,-10.0994,-5.0497,0.845897,-18.218,299.998,0.0696559
37601,0.853435,-11.5179,-5.75896,0.484144,-22.6082,234.84,-21.7548
10874,-2.22575,-10.6186,-5.3093,0.875507,-18.5994,279.285,-1.11287
3604,-0.848877,-14.5948,-7.29738,0.462778,-10.965,101.627,-11.8139
39784,1.39845,-12.7278,-6.36388,-0.82096,-21.9493,251.453,-20.5508
30434,-1.26349,-14.4243,-7.21217,-0.630168,-13.0898,299.613,-14.3533
10217,-4.8415,-11.3486,-2.42075,0.74428,-1.61577,489.63,-2.42075
10480,2.60831,-10.1481,1.30415,0.26301,2.27136,404.977,1.30415
26742,2.52785,-10.3261,-5.16304,-0.573623,-13.9437,396.641,-11.4159
20903,-4.17446,-12.2625,-6.13126,-0.211903,-22.2543,447.468,-26.4287
13670,-2.49063,-10.2732,-5.13662,-0.0577129,-20.4045,163.742,-22.8951
22855,3.49633,-14.9727,1.74816,0.910658,7.26747,136.899,1.74816
1736,-1.95148,-12.6374,-6.31871,0.486182,-17.6699,350.403,-19.6214
10650,-0.93556,-11.9497,-5.97485,-0.0695054,-27.125,194.903,-28.0606
32104,-0.331374,-14.3192,-0.165687,-0.139678,-0.321457,300.681,-0.652831
33880,0.655999,-12.2732,0.327999,-0.158499,1.05987,183.176,0.327999
36458,3.98618,-12.9367,-6.46836,-0.106839,-25.3717,310.336,-21.3855
2761,-0.174544,-14.4181,-7.20907,0.668732,-28.5552,171.376,-0.0872722
12518,0.778891,-12.3913,0.389445,0.756168,0.516726,123.641,0.389445
24693,-0.612891,-14.1539,-7.07693,-0.194473,-33.8514,278.567,-34.4643
23951,3.14543,-13.4133,1.57272,-0.489725,7.10781,135.862,1.0
37385,3.74127,-13.1905,-6.59523,0.672142,-22.3269,258.264,1.87063
15661,-0.754015,-10.6499,-5.32494,-0.863669,-16.479,222.137,-17.233
21481,2.12612,-14.0899,1.06306,-0.679511,5.25456,153.896,1.06306
15610,2.24774,-12.3118,-6.15592,0.269094,-24.8998,306.131,-22.652
30950,-3.55757,-11.4101,-5.70506,0.638664,-14.3854,183.834,-1.77879
21407,4.75571,-12.6548,2.37786,0.343471,11.3053,314.094,2.37786
31022,-3.79803,-11.0396,-5.51978,0.523328,-13.3359,303.92,-1.89901
9722,-3.49644,-14.7746,-7.3873,-0.745757,-17.9099,318.668,-21.4064
39044,4.71622,-12.3441,2.35811,-0.467754,8.3619,240.886,1.0
34553,0.29998,-14.7451,-7.37256,0.545956,-6.57638,418.229,0.14999
23910,0.367432,-12.7632,-6.3816,0.671822,-16.638,432.334,0.183716
37829,-2.46384,-12.247,-1.23192,0.639923,-2.85251,266.579,-1.23192
6888,2.43013,-11.4951,-5.74756,0.270365,-16.7666,300.918,-14.3365
30693,-3.2644,-11.348,-5.67398,-0.179407,-0.81804,330.126,-4.08244
33948,3.50744,-14.3903,1.75372,0.915383,4.08196,382.541,1.75372
40284,-4.49251,-14.4927,-2.24625,-0.702074,-5.72437,422.377,-10.2169
27489,1.04479,-12.8279,-6.41396,-0.630561,-13.4108,361.365,-12.366
31311,1.93265,-14.7348,-7.36742,0.7538,-4.89992,391.098,0.966324
24793,3.29782,-13.5286,1.64891,-0.887778,2.65955,188.179,1.0
18048,-4.32051,-14.2085,-7.10427,-0.0524786,-26.7223,411.834,-31.0428
8897,0.680186,-12.2579,-6.12896,0.823074,-7.34676,442.602,0.340093
39407,0.40644,-11.0918,0.20322,-0.459127,0.208259,483.864,0.20322
21856,1.77457,-11.0057,-5.50285,-0.670311,-24.5078,225.953,-22.7333
