,latitude,longitude,admission_rate,undergrad_size,percent_white,percent_black,percent_hispanic,percent_part_time,average_cost_academic_year,average_cost_program_year,tuition_(instate),tuition_(out_of_state),spend_per_student,faculty_salary,percent_part_time_faculty,completion_rate,faminc,percent_pell_grant
0,34.7834,-86.5685,0.8989,4051.0,0.0279,0.9501,0.0089,0.0622,18888.0,,7182.0,12774.0,7459.0,7079.0,0.8856,0.2914,40211.22,0.7115
1,33.5022,-86.8092,0.8673,11200.0,0.5987,0.259,0.0258,0.2579,19990.0,,7206.0,16398.0,17208.0,10170.0,0.9106,0.5377,49894.65,0.3505
2,32.3626,-86.17399999999999,,322.0,0.2919,0.4224,0.0093,0.3727,12300.0,,6870.0,6870.0,5123.0,3849.0,0.6721,0.6667,38712.18,0.6839
3,34.7228,-86.6384,0.8062,5525.0,0.7012,0.131,0.0338,0.2395,20306.0,,9192.0,21506.0,9352.0,9341.0,0.6555,0.4835,54155.4,0.3281
4,32.3643,-86.2957,0.5125,5354.0,0.0161,0.9285,0.0114,0.0902,17400.0,,8720.0,15656.0,7393.0,6557.0,0.6641,0.2517,31846.99,0.8265
5,33.2144,-87.5458,0.5655,28692.0,0.7865,0.114,0.0313,0.0852,26717.0,,9450.0,23950.0,9817.0,9605.0,0.7109,0.6665,74131.14,0.2107
6,32.9244,-85.9465,,1779.0,0.6785,0.2945,0.0118,0.466,12103.0,,4200.0,7500.0,5935.0,5805.0,0.3871,,27315.85,0.6515
7,34.8056,-86.9651,,2999.0,0.7513,0.1064,0.0213,0.5502,,,,,6176.0,7672.0,0.4412,,40441.28,0.4107
8,32.3699,-86.1774,0.8371,4322.0,0.5532,0.3031,0.0079,0.3061,16556.0,,8750.0,24950.0,6817.0,7173.0,0.9262,0.2705,40107.7,0.4006
9,32.6002,-85.4924,0.8274,19761.0,0.8543,0.0714,0.0253,0.0902,23788.0,,9852.0,26364.0,11324.0,9429.0,0.878,0.6792,88745.91,0.1687
10,33.5155,-86.8536,0.6422,1181.0,0.8103,0.094,0.0305,0.0119,44512.0,,30690.0,30690.0,9990.0,7513.0,0.6479,0.6192,106237.94,0.2136
11,32.4239,-85.0315,,1769.0,0.4675,0.4409,0.0379,0.4059,6800.0,,4260.0,7590.0,4459.0,5749.0,0.2903,,26080.04,0.6116
12,32.4223,-87.0242,,523.0,0.0115,0.9388,0.0134,0.0631,17655.0,,8090.0,8090.0,6652.0,5720.0,0.5833,0.2115,17535.24,0.8363
13,32.3427,-86.2165,0.4366,599.0,0.2988,0.6628,0.0117,0.4808,28525.0,,16360.0,16360.0,4728.0,4566.0,0.1667,0.0784,42169.58,0.7131
14,31.2975,-85.837,,1984.0,0.6411,0.2661,0.0444,0.3538,10193.0,,3780.0,6888.0,5930.0,6257.0,0.426,,27318.59,0.5121
15,30.851999999999997,-87.7798,,4182.0,0.7104,0.2176,0.0263,0.3867,11921.0,,4200.0,7530.0,4101.0,6116.0,0.5625,,37506.3,0.4885
16,32.3842,-86.2164,,2358.0,0.3919,0.5254,0.0178,0.2354,28485.0,,18230.0,18230.0,5382.0,6657.0,0.4757,0.2287,41904.64,0.5816
17,33.9919,-85.9913,,5480.0,0.6792,0.21,0.0261,0.4345,10247.0,,3900.0,7230.0,5876.0,5950.0,0.46299999999999997,,18764.16,0.6
18,34.2593,-86.2,,89.0,0.9326,0.0337,0.0337,0.0,,13482.0,,,1764.0,,,,,0.4898
19,31.3161,-85.4636,,4293.0,0.6306,0.3196,0.024,0.4675,8140.0,,3900.0,7230.0,5296.0,5544.0,0.614,,18035.9,0.5548
20,34.0734,-86.7817,,4904.0,0.875,0.0593,0.0273,0.4052,10822.0,,4200.0,7530.0,5289.0,5843.0,0.4283,,33184.58,0.5017
21,32.4456,-87.0132,,1604.0,0.2163,0.7594,0.0062,0.3348,14835.0,,3900.0,7230.0,5581.0,5809.0,0.5564,,13685.85,0.7687
22,33.4681,-86.8323,0.7234,318.0,0.3491,0.5881,0.0063,0.4969,26656.0,,11150.0,11150.0,6942.0,5645.0,0.3077,0.1778,27630.62,0.6373
23,32.3509,-86.2853,0.6279,1100.0,0.5845,0.1918,0.02,0.1836,31433.0,,23500.0,23500.0,6571.0,6027.0,0.4083,0.4319,63952.76,0.4302
24,34.8591,-87.6621,,67.0,0.7313,0.1194,0.0448,0.5224,21160.0,,9792.0,9792.0,9356.0,5512.0,1.0,0.0,32348.1,0.4839
25,34.7721,-86.5738,,1040.0,0.3096,0.6231,0.025,0.3894,12217.0,,3336.0,6000.0,5498.0,6947.0,0.37799999999999995,,15507.38,0.5873
26,33.8221,-85.7666,0.8326,7195.0,0.6655,0.2628,0.0133,0.2128,19202.0,,7092.0,13884.0,6949.0,6857.0,0.6516,0.3083,47062.65,0.4613
27,31.101999999999997,-87.0858,,1037.0,0.5853,0.297,0.0116,0.4089,9149.0,,3908.0,7238.0,5655.0,5636.0,0.5,,18580.6,0.5283
28,33.6524,-86.7074,,7494.0,0.6894,0.2171,0.0388,0.6182,12943.0,,4260.0,7590.0,4576.0,6079.0,0.3348,,33078.37,0.3579
29,34.6543,-86.9491,,9970.0,0.6627,0.1949,0.0396,0.5785,9829.0,,4140.0,7410.0,3720.0,6083.0,0.2998,,33714.57,0.4032
30,32.6305,-87.3161,0.7388,331.0,0.7915,0.145,0.0151,0.2115,27815.0,,15630.0,15630.0,9293.0,5638.0,1.0,0.4051,49479.42,0.4788
31,33.4517,-86.8902,,2894.0,0.1448,0.7557,0.0104,0.3825,12602.0,,4230.0,7590.0,5705.0,6005.0,0.4093,,16636.97,0.6821
32,32.5924,-88.1861,0.9957,1988.0,0.4291,0.4195,0.0216,0.1479,17959.0,,7660.0,14170.0,8898.0,6408.0,0.5404,0.3161,37752.64,0.5604
33,31.3229,-86.4523,,1372.0,0.7259,0.2493,0.0087,0.2937,13204.0,,4170.0,7500.0,5904.0,5629.0,0.6531,,21222.83,0.5753
34,32.6224,-87.318,0.6034,411.0,0.5766,0.2287,0.1022,0.0,16520.0,,8570.0,14570.0,6128.0,5909.0,0.75,,59734.02,0.4424
35,33.4813,-86.9086,,1663.0,0.018000000000000002,0.9693,0.0054,0.0523,21336.0,,11454.0,11454.0,4921.0,4026.0,0.7786,0.21600000000000003,27816.45,0.8227
36,30.7932,-88.1289,0.7125,1472.0,0.6461,0.21600000000000003,0.0122,0.1461,30108.0,,18690.0,18690.0,6715.0,5024.0,1.0,0.4904,51471.07,0.5032
37,33.1063,-86.8651,0.8729,2610.0,0.7368,0.1398,0.023,0.1004,20209.0,,10000.0,19690.0,7719.0,7035.0,0.5951,0.4493,58419.08,0.4136
38,34.7396,-87.6773,,3235.0,0.8195,0.127,0.0343,0.4331,9111.0,,4140.0,7470.0,5013.0,6055.0,0.5366,,29186.33,0.5233
39,34.8066,-87.681,0.8092,5536.0,0.715,0.1384,0.0246,0.1358,15058.0,,7078.0,12670.0,6814.0,7152.0,0.9882,0.3216,52611.8,0.4192
40,34.5455,-85.9117,,2376.0,0.8885,0.0181,0.0526,0.3973,7860.0,,4200.0,7530.0,4473.0,6099.0,0.37200000000000005,,26342.02,0.628
41,34.7566,-86.6616,0.3435,1854.0,0.0102,0.8495,0.0237,0.0453,34705.0,,16234.0,16234.0,7656.0,5307.0,1.0,0.3632,54196.14,0.5066
42,31.4889,-87.3264,,1218.0,0.5452,0.4187,0.0074,0.2726,10701.0,,4200.0,7530.0,6731.0,5869.0,1.0,,17293.63,0.5602
43,32.3831,-86.1622,,102.0,0.6667,0.2745,0.0294,0.0,24676.0,,9685.0,9685.0,5269.0,4710.0,,,39000.1,0.6446
44,31.4607,-86.9645,,414.0,0.47100000000000003,0.4928,0.0121,0.37200000000000005,9693.0,,4260.0,7590.0,5559.0,5875.0,0.6842,,16238.09,0.701
45,30.694000000000003,-88.057,,3363.0,0.2551,0.672,0.0152,0.3547,10059.0,,4200.0,7530.0,5734.0,6173.0,0.568,,15282.58,0.6352
46,33.4646,-86.7909,0.7697,2995.0,0.8114,0.0664,0.0664,0.0504,38835.0,,26328.0,26328.0,14054.0,8261.0,0.9939,0.6920000000000001,92968.08,0.1494
47,32.4204,-87.0338,,447.0,0.0336,0.9664,0.0,0.2841,11187.0,,5840.0,5840.0,3672.0,3232.0,0.84,0.2133,,0.75
48,33.1205,-87.5615,,4859.0,0.5526,0.34700000000000003,0.0047,0.495,13007.0,,3900.0,7230.0,4407.0,4584.0,0.4248,,17692.62,0.5217
