,lp_avg,lp_l2_avg,PAR10
0,0.145149,0.21666,126.0734
1,0.145149,0.21666,23.0734
2,0.145149,0.21666,22.0734
3,0.145149,0.21666,119.0734
4,0.145149,0.21666,22.0734
5,0.450623,8.05005,84.3321
6,0.450623,8.05005,18.3321
7,0.450623,8.05005,37.3321
8,0.450623,8.05005,625.3321
9,0.450623,8.05005,18.3321
10,0.00608289,0.0530937,72019.02
11,0.00608289,0.0530937,1546.02
12,0.00608289,0.0530937,1661.02
13,0.00608289,0.0530937,72019.02
14,0.00608289,0.0530937,470.02
15,0.0303277,0.0365095,72019.5371
16,0.0303277,0.0365095,179.5371
17,0.0303277,0.0365095,2277.5371
18,0.0303277,0.0365095,72019.5371
19,0.0303277,0.0365095,318.5371
20,0.0849456,0.160542,168.8384
21,0.0849456,0.160542,32.8384
22,0.0849456,0.160542,30.8384
23,0.0849456,0.160542,201.8384
24,0.0849456,0.160542,27.8384
25,0.0830001,0.152918,65.707
26,0.0830001,0.152918,29.707
27,0.0830001,0.152918,36.707
28,0.0830001,0.152918,123.707
29,0.0830001,0.152918,27.707
30,0.0809619,0.148948,66.4471
31,0.0809619,0.148948,31.4471
32,0.0809619,0.148948,29.4471
33,0.0809619,0.148948,138.4471
34,0.0809619,0.148948,25.4471
35,0.00604672,0.0447846,285.131
36,0.00604672,0.0447846,100.131
37,0.00604672,0.0447846,50.131
38,0.00604672,0.0447846,664.131
39,0.00604672,0.0447846,53.131
40,0.00587857,0.0420144,38.4045
41,0.00587857,0.0420144,23.4045
42,0.00587857,0.0420144,29.4045
43,0.00587857,0.0420144,65.4045
44,0.00587857,0.0420144,22.4045
45,0.00278678,0.0181076,2710.2794
46,0.00278678,0.0181076,67.2794
47,0.00278678,0.0181076,69.2794
48,0.00278678,0.0181076,72021.2794
49,0.00278678,0.0181076,40.2794
50,0.333059,0.408081,61.87555
51,0.333059,0.408081,2.87555
52,0.333059,0.408081,47.87555
53,0.333059,0.408081,384.87555
54,0.333059,0.408081,3.87555
55,6.42008,800.727,72076.5048
56,6.42008,800.727,1098.5048
57,6.42008,800.727,736.5048
58,6.42008,800.727,72076.5048
59,6.42008,800.727,1824.5048
60,0.00834696,0.0555468,72018.3832
61,0.00834696,0.0555468,84.3832
62,0.00834696,0.0555468,72018.3832
63,0.00834696,0.0555468,72018.3832
64,0.00834696,0.0555468,238.3832
65,0.00541463,0.0283284,72019.6315
66,0.00541463,0.0283284,28.6315
67,0.00541463,0.0283284,27.6315
68,0.00541463,0.0283284,72019.6315
69,0.00541463,0.0283284,31.6315
70,0.147894,0.238987,72018.8727
71,0.147894,0.238987,72018.8727
72,0.147894,0.238987,72018.8727
73,0.147894,0.238987,72018.8727
74,0.147894,0.238987,1672.8727
75,0.0161136,0.0688699,264.7976
76,0.0161136,0.0688699,110.7976
77,0.0161136,0.0688699,85.7976
78,0.0161136,0.0688699,250.7976
79,0.0161136,0.0688699,101.7976
80,0.153555,0.174843,49.5269
81,0.153555,0.174843,27.5269
82,0.153555,0.174843,28.5269
83,0.153555,0.174843,68.5269
84,0.153555,0.174843,40.5269
85,0.0534401,0.12473,20.70587
86,0.0534401,0.12473,11.70587
87,0.0534401,0.12473,11.70587
88,0.0534401,0.12473,36.70587
89,0.0534401,0.12473,10.70587
90,0.0605064,0.144932,346.4323
91,0.0605064,0.144932,93.4323
92,0.0605064,0.144932,94.4323
93,0.0605064,0.144932,239.4323
94,0.0605064,0.144932,98.4323
95,0.00165691,0.021401,72010.7398
96,0.00165691,0.021401,299.7398
97,0.00165691,0.021401,2499.7398
98,0.00165691,0.021401,72010.7398
99,0.00165691,0.021401,210.7398
100,0.00134376,0.0192255,72017.9741
101,0.00134376,0.0192255,358.9741
102,0.00134376,0.0192255,2496.9741
103,0.00134376,0.0192255,72017.9741
104,0.00134376,0.0192255,219.9741
105,0.0343679,0.103682,154.5458
106,0.0343679,0.103682,201.5458
107,0.0343679,0.103682,74.5458
108,0.0343679,0.103682,72017.5458
109,0.0343679,0.103682,374.5458
110,0.0364054,0.111202,771.7264
111,0.0364054,0.111202,626.7264
112,0.0364054,0.111202,256.7264
113,0.0364054,0.111202,72018.7264
114,0.0364054,0.111202,1434.7264
115,0.656893,1.73941,72075.3836
116,0.656893,1.73941,252.3836
117,0.656893,1.73941,915.3836
118,0.656893,1.73941,72075.3836
119,0.656893,1.73941,860.3836
120,0.000211417,0.0077738,2085.86809
121,0.000211417,0.0077738,1086.86809
122,0.000211417,0.0077738,809.86809
123,0.000211417,0.0077738,72006.86809
124,0.000211417,0.0077738,428.86809
125,0.0139965,0.070018,96.0307
126,0.0139965,0.070018,55.0307
127,0.0139965,0.070018,60.0307
128,0.0139965,0.070018,199.0307
129,0.0139965,0.070018,55.0307
130,0.142857,0.142857,2751.09567
131,0.142857,0.142857,9.09567
132,0.142857,0.142857,22.09567
133,0.142857,0.142857,2208.09567
134,0.142857,0.142857,8.09567
135,0.015227,0.0722772,1222.2963
136,0.015227,0.0722772,313.2963
137,0.015227,0.0722772,463.2963
138,0.015227,0.0722772,72019.2963
139,0.015227,0.0722772,294.2963
140,0.0162862,0.0733845,391.2747
141,0.0162862,0.0733845,115.2747
142,0.0162862,0.0733845,3515.2747
143,0.0162862,0.0733845,72018.2747
144,0.0162862,0.0733845,240.2747
145,0.0138915,0.0669604,812.3152
146,0.0138915,0.0669604,294.3152
147,0.0138915,0.0669604,93.3152
148,0.0138915,0.0669604,72019.3152
149,0.0138915,0.0669604,268.3152
150,0.103914,0.17266,768.5503
151,0.103914,0.17266,438.5503
152,0.103914,0.17266,303.5503
153,0.103914,0.17266,857.5503
154,0.103914,0.17266,147.5503
155,0.0628171,0.126835,40.5417
156,0.0628171,0.126835,56.5417
157,0.0628171,0.126835,46.5417
158,0.0628171,0.126835,119.5417
159,0.0628171,0.126835,28.5417
160,0.000800627,0.0135922,48.1634
161,0.000800627,0.0135922,19.1634
162,0.000800627,0.0135922,91.1634
163,0.000800627,0.0135922,89.1634
164,0.000800627,0.0135922,36.1634
165,0.000112539,0.00462611,72017.6743
166,0.000112539,0.00462611,72017.6743
167,0.000112539,0.00462611,1483.6743
168,0.000112539,0.00462611,72017.6743
169,0.000112539,0.00462611,6505.6743
170,0.00454472,0.0341843,72.6348
171,0.00454472,0.0341843,34.6348
172,0.00454472,0.0341843,43.6348
173,0.00454472,0.0341843,219.6348
174,0.00454472,0.0341843,29.6348
175,0.00147929,0.0271964,1.016185
176,0.00147929,0.0271964,1.016185
177,0.00147929,0.0271964,1.016185
178,0.00147929,0.0271964,72000.016185
179,0.00147929,0.0271964,1.016185
180,0.00127551,0.0252538,1.018371
181,0.00127551,0.0252538,1.018371
182,0.00127551,0.0252538,1.018371
183,0.00127551,0.0252538,72000.018371
184,0.00127551,0.0252538,1.018371
185,0.00111111,0.0235702,1.019148
186,0.00111111,0.0235702,1.019148
187,0.00111111,0.0235702,1.019148
188,0.00111111,0.0235702,72000.019148
189,0.00111111,0.0235702,1.019148
190,0.000976562,0.0220971,1.017233
191,0.000976562,0.0220971,1.017233
192,0.000976562,0.0220971,1.017233
193,0.000976562,0.0220971,72000.017233
194,0.000976562,0.0220971,1.017233
