,Log1996,Log.population,Log.GDP,Log.athletes,GDP
0,4.615120517,12.52098557,15.83932046,6.498282149,7567100
1,4.143134726,11.9011359,12.78277028,6.148468296,356030
2,3.912023005,14.04320215,13.71688178,5.686975356,906079
3,3.713572067,9.826606508,12.81530003,6.484635236,367802
4,4.17438727,11.31609516,14.67613297,6.208590026,2364632
5,3.610917913,10.97990536,14.24314086,5.883322388,1533619
6,3.555348061,10.95725937,13.94696329,6.023447593,1140484
7,3.218875825,9.316140791,9.83091686,5.501258211,18600
8,2.708050201,10.9793258,13.95712817,5.872117789,1152136
9,3.295836866,10.05826661,13.08804105,5.676753802,483130
10,2.995732274,10.02011436,10.49656575,5.129898715,36191
11,2.944438979,9.660013735,12.90561185,5.537334267,402565
12,3.135494216,10.8368517,11.01705413,5.513428746,60904
13,2.63905733,11.74626486,15.45434901,5.655991811,5149185
14,3.044522438,9.221873608,10.69815288,5.318119994,44274
15,2.708050201,9.241354426,10.01913498,5.049856007,22452
16,2.833213344,10.56405989,11.73352177,5.323009979,124682
17,3.091042453,10.32754541,13.25321443,5.805134969,569899
18,2.708050201,9.028338764,9.202711345,4.584967479,9924
19,2.079441542,9.26860928,11.69542201,5.111987788,120021
20,2.079441542,9.090993614,12.334092,5.099866428,227315
21,2.708050201,12.01884507,13.47244403,5.327876169,709591
22,2.833213344,10.58729122,13.24147708,5.869296913,563249
23,1.945910149,8.393668705,11.92634552,4.700480366,151198
24,1.945910149,8.895492631,12.65628483,4.744932128,313729
25,1.098612289,10.99623266,8.706490362,3.433987204,6042
26,2.397895273,9.238150073,11.70189156,4.941642423,120800
27,2.397895273,9.700085352,10.00843298,4.905274778,22213
28,2.079441542,10.27532693,9.066585468,4.060443011,8661
29,1.791759469,7.839131648,9.082507,3.970291914,8800
30,1.791759469,8.569785642,12.03716275,4.700480366,168917
31,1.386294361,12.23727088,12.27084864,3.871201011,213384
32,0.0,11.4703415,12.65943228,4.394449155,314718
33,0.693147181,8.528924114,8.431635303,3.583518938,4590
34,1.791759469,11.07409487,12.08689489,4.077537444,177530
35,0.0,8.214465161,9.042513261,4.219507705,8455
36,1.098612289,8.589885877,9.809506489,4.744932128,18206
37,1.098612289,10.31164902,10.68569817,3.891820298,43726
38,1.791759469,9.224341892,12.50110141,4.248495242,268633
39,1.609437912,10.58042913,11.79399824,4.8978398,132455
40,0.0,8.803874764,12.60469103,4.007333185,297953
41,0.693147181,10.21745852,10.4612731,4.094344562,34936
42,1.098612289,11.09373662,12.75880767,3.555348061,347600
43,1.386294361,8.547528391,11.6876012,4.356708827,119086
44,0.693147181,10.06789969,10.06433008,4.382026635,23490
45,1.791759469,8.24170316,10.95317217,5.105945474,57135
46,1.098612289,10.49468506,12.5951746,5.023880521,295131
47,1.609437912,10.73876344,9.945924243,3.433987204,20867
48,1.098612289,9.004545459,12.33054437,4.574710979,226510
49,0.0,8.944941508,8.20028826,3.433987204,3642
50,0.0,7.793174347,8.65347081,3.871201011,5730
51,1.386294361,9.271905728,9.905435654,4.795790546,20039
52,0.693147181,11.00708738,12.08659067,4.077537444,177476
53,1.791759469,11.57504544,10.22553482,4.510859507,27599
54,0.693147181,7.59739632,9.819562318,4.49980967,18390
55,0.0,5.690359454,8.128880142,3.33220451,3391
56,0.693147181,8.473032296,12.10697028,4.727387819,181130
57,0.693147181,7.156956365,8.520587424,3.135494216,5017
58,0.693147181,8.384347278,7.840706452,3.526360525,2542
59,0.0,8.253488028,9.113939598,1.945910149,9081
60,0.693147181,9.19715381,11.52222212,4.442651256,100934
61,0.0,9.84585844,7.294377299,1.609437912,1472
62,1.386294361,8.210939733,11.20775808,4.356708827,73700
63,0.693147181,8.170751424,7.777792626,3.33220451,2387
64,0.0,8.69684452,11.41100348,3.688879454,90310
65,0.0,13.79757365,12.78761485,4.356708827,357759
