,OVR65,POPN,EDUC,HOUS,NONW,WWDRK,POOR,MORT
0,8.1,3.34,11.4,81.5,8.8,42.6,11.7,921.87
1,11.1,3.14,11.0,78.8,3.5,50.7,14.4,997.875
2,10.4,3.21,9.8,81.6,0.8,39.4,12.4,962.354
3,6.5,3.41,11.1,77.5,27.1,50.2,20.6,982.291
4,7.6,3.44,9.6,84.6,24.4,43.7,14.3,1071.289
5,7.7,3.45,10.2,66.8,38.5,43.1,25.5,1030.38
6,10.9,3.23,12.1,83.9,3.5,49.2,11.3,934.7
7,9.3,3.29,10.6,86.0,5.3,40.4,10.5,899.529
8,9.0,3.31,10.5,83.2,8.1,42.5,12.6,1001.902
9,9.5,3.36,10.7,79.3,6.7,41.0,13.2,912.347
10,7.7,3.39,9.6,69.2,22.2,41.3,24.2,1017.613
11,8.6,3.2,10.9,83.4,16.3,44.9,10.7,1024.885
12,9.2,3.21,10.2,77.0,13.0,45.7,15.1,970.467
13,8.8,3.29,11.1,86.3,14.7,44.6,11.4,985.95
14,8.0,3.26,11.9,78.4,13.1,49.6,13.9,958.839
15,7.1,3.22,11.8,79.9,14.8,51.2,16.1,860.101
16,7.5,3.35,11.4,81.9,12.4,44.0,12.0,936.234
17,8.2,3.15,12.2,84.2,4.7,53.1,12.7,871.766
18,7.2,3.44,10.8,87.0,15.8,43.5,13.6,959.221
19,6.5,3.53,10.8,79.5,13.1,33.8,12.4,941.181
20,7.3,3.22,11.4,80.7,11.5,48.1,18.5,891.708
21,9.0,3.37,10.9,82.8,5.1,45.2,12.3,871.338
22,6.1,3.45,10.4,71.8,22.7,41.4,19.5,971.122
23,9.0,3.25,11.5,87.1,7.2,51.6,9.5,887.466
24,5.6,3.35,11.4,79.7,21.0,46.9,17.9,952.529
25,8.7,3.23,11.4,78.6,15.6,46.6,13.2,968.665
26,9.2,3.1,12.0,78.3,12.6,48.6,13.9,919.729
27,10.1,3.38,9.5,79.2,2.9,43.7,12.0,844.053
28,9.2,2.99,12.1,90.6,7.8,48.9,12.3,861.833
29,8.3,3.37,9.9,77.4,13.1,42.6,17.7,989.265
30,7.3,3.49,10.4,72.5,36.7,43.3,26.4,1006.49
31,10.0,2.98,11.5,88.6,13.5,47.3,22.4,861.439
32,8.8,3.26,11.1,85.4,5.8,44.0,9.4,929.15
33,9.2,3.28,12.1,83.1,2.0,51.9,9.8,857.622
34,8.3,3.32,10.1,70.3,21.0,46.1,24.1,961.009
35,10.2,3.16,11.3,83.2,8.8,45.3,12.2,923.234
36,7.4,3.36,9.7,72.8,31.4,45.5,24.2,1113.156
37,9.7,3.03,10.7,83.5,11.3,48.7,12.4,994.648
38,9.1,3.32,10.5,87.5,17.5,45.3,13.2,1015.023
39,9.5,3.32,10.6,77.6,8.1,45.5,13.8,991.29
40,11.3,2.99,12.0,81.5,3.6,50.3,13.5,893.991
41,10.7,3.19,10.1,79.5,2.2,38.8,15.7,938.5
42,11.2,3.08,9.6,79.9,2.7,38.6,14.1,946.185
43,8.2,3.32,11.0,79.9,28.6,49.5,17.5,1025.502
44,10.9,3.21,11.1,82.5,5.0,46.4,10.8,874.281
45,9.3,3.23,9.7,76.8,17.2,45.1,15.3,953.56
46,7.3,3.11,12.1,88.9,5.9,51.0,14.0,839.709
47,9.2,2.92,12.2,87.7,13.7,51.2,12.0,911.701
48,7.0,3.36,12.2,90.7,3.0,51.9,9.7,790.733
49,9.6,3.02,12.2,82.5,5.7,54.3,10.1,899.264
50,10.6,3.21,11.1,82.6,3.4,41.9,12.3,904.155
51,9.8,3.34,11.4,78.0,3.8,50.5,11.1,950.672
52,9.3,3.22,10.7,81.3,9.5,43.9,13.6,972.464
53,11.3,3.28,10.3,73.8,2.5,47.4,13.5,912.202
54,6.2,3.25,12.3,89.5,25.9,59.7,10.3,967.803
55,7.0,3.27,12.1,81.0,7.5,51.6,13.2,823.764
56,7.7,3.39,11.3,82.2,12.1,47.3,10.9,1003.502
57,11.8,3.25,11.1,79.8,1.0,44.8,14.0,895.696
58,9.7,3.22,9.0,76.2,4.8,42.2,14.5,911.817
59,8.9,3.48,10.7,79.8,11.7,37.5,13.0,954.442
