,LON,LAT,MEDV,CMEDV,CRIM,RM,AGE,DIS,B,LSTAT
0,-70.955,42.255,24.0,24.0,0.00632,6.575,65.2,4.09,396.9,4.98
1,-70.95,42.2875,21.6,21.6,0.02731,6.421,78.9,4.9671,396.9,9.14
2,-70.936,42.283,34.7,34.7,0.02729,7.185,61.1,4.9671,392.83,4.03
3,-70.928,42.293,33.4,33.4,0.03237,6.998,45.8,6.0622,394.63,2.94
4,-70.922,42.298,36.2,36.2,0.06905,7.147,54.2,6.0622,396.9,5.33
5,-70.9165,42.304,28.7,28.7,0.02985,6.43,58.7,6.0622,394.12,5.21
6,-70.936,42.297,22.9,22.9,0.08829,6.012,66.6,5.5605,395.6,12.43
7,-70.9375,42.31,27.1,22.1,0.14455,6.172,96.1,5.9505,396.9,19.15
8,-70.933,42.312,16.5,16.5,0.21124,5.631,100.0,6.0821,386.63,29.93
9,-70.929,42.316,18.9,18.9,0.17004,6.004,85.9,6.5921,386.71,17.1
10,-70.935,42.316,15.0,15.0,0.22489,6.377,94.3,6.3467,392.52,20.45
11,-70.944,42.317,18.9,18.9,0.11747,6.009,82.9,6.2267,396.9,13.27
12,-70.951,42.306,21.7,21.7,0.09378,5.889,39.0,5.4509,390.5,15.71
13,-70.9645,42.292,20.4,20.4,0.62976,5.949,61.8,4.7075,396.9,8.26
14,-70.972,42.287,18.2,18.2,0.63796,6.096,84.5,4.4619,380.02,10.26
15,-70.9765,42.294,19.9,19.9,0.62739,5.834,56.5,4.4986,395.62,8.47
16,-70.987,42.2985,23.1,23.1,1.05393,5.935,29.3,4.4986,386.85,6.58
17,-70.978,42.285,17.5,17.5,0.7842,5.99,81.7,4.2579,386.75,14.67
18,-70.9925,42.2825,20.2,20.2,0.80271,5.456,36.6,3.7965,288.99,11.69
19,-70.988,42.2776,18.2,18.2,0.7258,5.727,69.5,3.7965,390.95,11.28
20,-70.9835,42.277,13.6,13.6,1.25179,5.57,98.1,3.7979,376.57,21.02
21,-70.982,42.281,19.6,19.6,0.85204,5.965,89.2,4.0123,392.53,13.83
22,-70.9775,42.279,15.2,15.2,1.23247,6.142,91.7,3.9769,396.9,18.72
23,-70.973,42.279,14.5,14.5,0.98843,5.813,100.0,4.0952,394.54,19.88
24,-70.9693,42.2816,15.6,15.6,0.75026,5.924,94.1,4.3996,394.33,16.3
25,-70.964,42.284,13.9,13.9,0.84054,5.599,85.7,4.4546,303.42,16.51
26,-70.9597,42.287,16.6,16.6,0.67191,5.813,90.3,4.682,376.88,14.81
27,-70.9597,42.2825,14.8,14.8,0.95577,6.047,88.8,4.4534,306.38,17.28
28,-70.957,42.28,18.4,18.4,0.77299,6.495,94.4,4.4547,387.94,12.8
29,-70.951,42.278,21.0,21.0,1.00245,6.674,87.3,4.239,380.23,11.98
30,-70.967,42.279,12.7,12.7,1.13081,5.713,94.1,4.233,360.17,22.6
31,-70.964,42.2765,14.5,14.5,1.35472,6.072,100.0,4.175,376.73,13.04
32,-70.972,42.2765,13.2,13.2,1.38799,5.95,82.0,3.99,232.6,27.71
33,-70.9795,42.276,13.1,13.1,1.15172,5.701,95.0,3.7872,358.77,18.35
34,-70.9775,42.272,13.5,13.5,1.61282,6.096,96.9,3.7598,248.31,20.34
35,-71.0,42.27,18.9,18.9,0.06417,5.933,68.2,3.3603,396.9,9.68
36,-71.008,42.2745,20.0,20.0,0.09744,5.841,61.4,3.3779,377.56,11.41
37,-71.004,42.2865,21.0,21.0,0.08014,5.85,41.5,3.9342,396.9,8.77
38,-71.02,42.2875,24.7,24.2,0.17505,5.966,30.2,3.8473,393.43,10.13
39,-71.013,42.313,30.8,30.8,0.02763,6.595,21.8,5.4011,395.63,4.32
40,-71.03,42.324,34.9,34.9,0.03359,7.024,15.8,5.4011,395.62,1.98
41,-71.004,42.335,26.6,26.6,0.12744,6.77,2.9,5.7209,385.41,4.84
42,-71.003,42.3235,25.3,25.3,0.1415,6.169,6.6,5.7209,383.37,5.81
43,-70.9775,42.3237,24.7,24.7,0.15936,6.211,6.5,5.7209,394.46,7.44
44,-70.9675,42.317,21.2,21.2,0.12269,6.069,40.0,5.7209,389.39,9.55
45,-70.9725,42.3075,19.3,19.3,0.17142,5.682,33.8,5.1004,396.9,10.21
46,-70.965,42.3075,20.0,20.0,0.18836,5.786,33.3,5.1004,396.9,14.15
47,-70.956,42.3125,16.6,16.6,0.22927,6.03,85.5,5.6894,392.74,18.8
48,-70.955,42.3165,14.4,14.4,0.25387,5.399,95.3,5.87,396.9,30.81
49,-70.9525,42.3208,19.4,19.4,0.21977,5.602,62.0,6.0877,396.9,16.2
50,-70.951,42.334,19.7,19.7,0.08873,5.963,45.7,6.8147,395.56,13.45
