,cars_per_hour,temperature_at_2m,wind_direction,no2_concentration
0,7.6912,9.2,74.4,3.71844
1,7.69894,6.4,56.0,3.10009
2,4.81218,-3.7,281.3,3.31419
3,6.95177,-7.2,74.0,4.38826
4,7.51806,-1.3,65.0,4.3464
5,7.67183,2.6,224.2,4.16044
6,5.52545,-7.9,211.9,4.01277
7,4.68213,-4.1,63.1,2.15176
8,7.15618,-12.7,64.5,3.157
9,4.74493,-1.6,58.3,2.37955
10,5.81114,-3.1,78.0,3.83298
11,8.10892,1.0,215.0,4.48187
12,8.31385,12.2,230.4,4.0483
13,5.22036,-1.5,82.7,4.00186
14,6.40853,-0.9,235.0,3.2308
15,7.3192,-8.5,282.4,4.67189
16,6.6174,6.5,88.0,2.73437
17,7.76938,4.2,9.3,3.49651
18,6.4677,-1.1,277.0,3.67122
19,7.65064,0.8,70.0,3.67377
20,7.75061,8.2,307.0,3.15274
21,5.18178,0.2,230.0,3.42751
22,7.63964,-2.1,41.4,4.32413
23,8.00703,-2.8,62.5,3.65584
24,7.75319,-5.4,83.0,3.93183
25,4.65396,-5.7,58.5,2.28238
26,6.67582,6.6,104.5,4.13035
27,7.79688,5.7,223.0,3.77963
28,8.02224,13.8,201.6,3.97968
29,7.48829,3.2,285.0,3.7542
30,7.75148,2.1,149.0,3.45632
31,6.12468,5.3,73.0,2.36085
32,7.71244,7.5,273.9,4.23411
33,7.56941,10.7,56.0,2.2192
34,7.35947,-9.6,64.6,4.53475
35,7.99564,3.2,42.8,2.10413
36,8.30251,3.5,207.9,4.5819
37,5.95584,6.7,89.9,4.03247
38,6.74052,-6.4,77.0,3.21084
39,6.45205,-3.0,57.0,4.04655
40,6.39359,-13.4,80.0,3.94546
41,7.16317,1.4,274.0,3.89182
42,7.643,8.5,322.0,3.22287
43,5.93754,-2.8,65.0,3.3569
44,7.61923,16.6,136.9,3.31782
45,8.34854,2.7,219.0,3.81551
46,8.1274,19.1,266.6,3.45632
47,6.83626,7.8,220.0,2.66723
48,5.27811,1.5,251.0,3.76815
49,5.68358,0.3,220.4,2.87356
50,7.76004,-7.3,176.0,3.48431
51,6.30079,-1.6,289.1,2.92852
52,5.52146,1.1,9.0,3.32143
53,7.79811,16.1,246.1,4.35543
54,6.14419,-7.9,56.0,3.7329
55,6.54965,1.1,66.0,2.70805
56,5.64545,0.3,69.5,2.4248
57,6.632,4.1,212.0,3.45632
58,7.64012,5.9,249.0,4.26127
59,6.86589,-6.8,50.0,2.57261
60,6.6896,0.3,252.0,3.79549
61,7.36771,1.8,91.0,4.08429
62,7.6256,-7.9,188.9,5.11259
