,Engine_size,Horsepower,RPM,Engine_revolutions_per_mile,Fuel_tank_capacity,Rear_seat_room,Weight,class
0,1.8,140.0,6300.0,2890.0,13.2,26.5,2705.0,15.9
1,3.2,200.0,5500.0,2335.0,18.0,30.0,3560.0,33.9
2,2.8,172.0,5500.0,2280.0,16.9,28.0,3375.0,29.1
3,2.8,172.0,5500.0,2535.0,21.1,31.0,3405.0,37.7
4,3.5,208.0,5700.0,2545.0,21.1,27.0,3640.0,30.0
5,2.2,110.0,5200.0,2565.0,16.4,28.0,2880.0,15.7
6,3.8,170.0,4800.0,1570.0,18.0,30.5,3470.0,20.8
7,5.7,180.0,4000.0,1320.0,23.0,30.5,4105.0,23.7
8,3.8,170.0,4800.0,1690.0,18.8,26.5,3495.0,26.3
9,4.9,200.0,4100.0,1510.0,18.0,35.0,3620.0,34.7
10,4.6,295.0,6000.0,1985.0,20.0,31.0,3935.0,40.1
11,2.2,110.0,5200.0,2380.0,15.2,25.0,2490.0,13.4
12,2.2,110.0,5200.0,2665.0,15.6,26.0,2785.0,11.4
13,3.4,160.0,4600.0,1805.0,15.5,25.0,3240.0,15.1
14,2.2,110.0,5200.0,2595.0,16.5,28.5,3195.0,15.9
15,3.8,170.0,4800.0,1690.0,20.0,30.5,3715.0,16.3
16,4.3,165.0,4000.0,1790.0,27.0,33.5,4025.0,16.6
17,5.0,170.0,4200.0,1350.0,23.0,29.5,3910.0,18.8
18,5.7,300.0,5000.0,1450.0,20.0,,3380.0,38.0
19,3.3,153.0,5300.0,1990.0,18.0,31.0,3515.0,18.4
20,3.0,141.0,5000.0,2090.0,16.0,30.5,3085.0,15.8
21,3.3,147.0,4800.0,1785.0,16.0,36.0,3570.0,29.5
22,1.5,92.0,6000.0,3285.0,13.2,26.5,2270.0,9.2
23,2.2,93.0,4800.0,2595.0,14.0,26.5,2670.0,11.3
24,2.5,100.0,4800.0,2535.0,16.0,30.5,2970.0,13.3
25,3.0,142.0,5000.0,1970.0,20.0,26.5,3705.0,19.0
26,2.5,100.0,4800.0,2465.0,16.0,30.5,3080.0,15.6
27,3.0,300.0,6000.0,2120.0,19.8,20.0,3805.0,25.8
28,1.5,92.0,6000.0,2505.0,13.2,26.5,2295.0,12.2
29,3.5,214.0,5800.0,1980.0,18.0,30.0,3490.0,19.3
30,1.3,63.0,5000.0,3150.0,10.0,26.0,1845.0,7.4
31,1.8,127.0,6500.0,2410.0,13.2,28.0,2530.0,10.1
32,2.3,96.0,4200.0,2805.0,15.9,27.5,2690.0,11.3
33,2.3,105.0,4600.0,2285.0,15.4,24.0,2850.0,15.9
34,2.0,115.0,5500.0,2340.0,15.5,23.0,2710.0,14.0
35,3.0,145.0,4800.0,2080.0,21.0,30.0,3735.0,19.9
36,3.0,140.0,4800.0,1885.0,16.0,27.5,3325.0,20.2
37,4.6,190.0,4200.0,1415.0,20.0,30.0,3950.0,20.9
38,1.0,55.0,5700.0,3755.0,10.6,27.5,1695.0,8.4
39,1.6,90.0,5400.0,3250.0,12.4,24.5,2475.0,12.5
40,2.3,160.0,5800.0,2855.0,15.9,23.5,2865.0,19.8
41,1.5,102.0,5900.0,2650.0,11.9,28.0,2350.0,12.1
42,2.2,140.0,5600.0,2610.0,17.0,28.0,3040.0,17.5
43,1.5,81.0,5500.0,2710.0,11.9,26.0,2345.0,8.0
44,1.8,124.0,6000.0,2745.0,13.7,28.0,2620.0,10.0
45,1.5,92.0,5550.0,2540.0,11.9,23.5,2285.0,10.0
46,2.0,128.0,6000.0,2335.0,17.2,31.0,2885.0,13.9
47,4.5,278.0,6000.0,1955.0,22.5,29.0,4000.0,47.9
48,3.0,185.0,5200.0,2325.0,18.5,27.5,3510.0,28.0
49,3.0,225.0,6000.0,2510.0,20.6,25.0,3515.0,35.2
50,3.8,160.0,4400.0,1835.0,18.4,30.0,3695.0,34.3
