,oz1,oz2,oz3,oz4,oz5,oz6
0,0.82761285,0.87405708,-0.26961191,1.0846588,0.80706987,-1.0512137
1,-1.050347,-0.80902634,-1.1895561,0.95391135,0.77879686,1.2853751
2,-0.089652777,0.12904661,-0.36010834,-1.1081253,0.066153827,-0.11297532
3,-0.80489609,-0.64617232,0.03734984,-1.690904,0.41871564,0.03754378
4,-0.26135805,-0.58302686,0.24205949,-1.4556858,1.5975449,0.47695799
5,-0.63973473,-0.18648556,-1.2855165,0.32240824,-0.71758262,1.0801723
6,1.2048641,1.0971915,1.1784505,0.95147072,-0.33441786,-0.72285192
7,-1.324063,-1.4054586,-0.45063093,0.57176368,0.93705051,0.54444607
8,-0.93333717,-1.4228995,1.1805825,-1.1843819,-1.4120296,-0.30262985
9,-0.51625476,-0.40376751,0.33387342,-0.025089954,1.5105938,1.1111247
10,-0.16709822,0.32374291,-0.98684543,-0.28966886,-0.89976489,0.26816369
11,0.15356911,0.20297021,0.22351476,-0.34501581,-1.6145782,-0.39080893
12,1.0629026,1.1201627,0.82085898,-1.4430067,-0.88513716,-1.8692446
13,-0.71691267,-0.18393175,-1.1803798,1.2823247,1.6470714,2.0594571
14,-0.17680386,-1.1083933,1.5000515,-0.11856822,-0.78562756,0.58855351
15,-0.67477749,-1.5522728,0.84349888,-1.3652809,-0.88742966,-0.65806407
16,0.42130417,1.04173,-1.4668934,-0.32069301,-1.0593346,-1.8646349
17,0.98659144,0.38896018,1.6650451,-0.3574939,1.2429664,-1.3067572
18,-0.41940011,-0.1242696,-1.4247173,0.64590249,-1.1701611,1.2811544
19,0.96231102,1.1069619,0.28841886,-0.50318828,-0.0088565758,-1.3632064
20,-0.99178186,-0.90106017,-0.34544126,1.5957394,1.6882597,1.3284523
21,0.023497502,-0.64149319,1.104236,0.68952055,-0.75611413,1.1582139
22,1.3362549,1.318336,-0.17760743,0.52197994,-0.53097627,-0.13861962
23,-1.1541483,-1.2911407,-0.27009926,-1.2756036,1.007258,-0.27012679
24,-1.9206987,-1.0788501,-1.6868086,0.045932443,0.57648461,0.52295978
25,-0.13302427,-1.0522886,1.5266008,1.0600078,-1.1590536,1.222646
26,0.68115543,0.21070107,1.668055,-0.081749669,0.99512378,-0.55825324
27,-1.4193968,-1.4700227,-0.30339299,1.4257954,1.1283195,0.33197661
28,-0.69480228,-1.446851,1.5302179,1.391577,0.0042720964,0.79575564
29,-1.7347209,-1.4714117,-0.70679059,-0.61124448,0.74854191,-0.45613882
30,-0.84214041,-1.7329421,1.1703083,0.4909952,0.73432694,0.26081226
31,-1.6360319,-1.3683246,-1.3332042,-0.30898419,1.4681841,0.35002906
32,0.91104089,1.6105979,-1.1062682,-1.2741234,-0.20391688,-0.64305294
33,-0.023255557,0.98640001,-1.5584658,1.4071108,0.84655802,-0.0045880591
34,1.1054759,0.55320964,1.5938489,1.72825,1.5089099,-0.40322653
35,-1.2067794,-1.3516615,-0.32485164,1.0474004,0.43013541,0.38952501
36,0.2216605,0.41089644,-0.21678183,-0.024601275,-1.442595,-1.0481087
37,0.90026594,0.063430585,1.3564411,0.68597788,1.4397524,-0.26057349
38,-0.45483561,0.10216435,-1.0458372,0.072806569,1.6048372,1.3059445
39,-1.443167,-1.1475586,-0.80911645,-0.54140515,-0.52781945,-0.34526437
40,0.8428203,0.16563793,1.4222162,1.0764774,-0.26611631,-0.22074201
41,1.1618131,1.0938107,-0.11099485,-1.2900513,1.1462397,-1.3112285
42,1.3791591,1.1956577,0.88956673,0.22251897,-0.64751668,-0.3333057
43,0.79381921,1.6356914,-1.6924368,0.84766389,-0.40094526,0.034560958
44,0.22613843,0.96886416,-0.74642661,0.53684987,-0.034220969,-1.1616735
45,0.017801609,-0.75393805,1.7062598,-1.1497886,1.3888286,1.4379439
46,-0.78549985,-0.63266399,-0.064964088,1.0059164,-1.0580343,0.80621891
47,-0.031901927,0.75260609,-0.93512762,-1.1780856,-0.87319835,-1.2263915
48,-0.16627436,-0.37431287,0.45199821,1.7388453,0.073148594,1.5843151
49,-0.38362801,0.20296272,-1.2231597,0.38616198,1.0648237,1.1606343
50,1.8471251,1.4601005,0.70389724,0.90400244,0.75107035,1.7705685
51,1.0743856,1.4928113,-0.71805397,1.7554688,1.3478723,0.72144692
52,-0.45364413,-0.60297288,0.88766082,-1.5652877,-1.4677001,-0.21492849
53,-1.4865806,-1.598811,0.53951538,0.88224893,0.021542914,-0.076058251
54,1.9666973,1.5051263,1.0507532,-1.4315463,0.080033705,0.48184467
55,-0.38603354,0.22440893,-1.4788337,-1.3962376,-1.6722144,0.088951443
56,-0.14099443,0.48393773,-1.3136996,-0.8010966,-0.61149508,-0.099523407
57,-0.31792693,-0.27391767,-0.53220702,-0.019806248,-0.90310035,0.60793785
58,-1.31937,-1.1582088,-1.0652064,-1.3574974,1.4950523,-0.082512347
59,-0.067129726,-0.91186448,1.5967265,-1.4687185,1.6341191,1.2676425
60,-0.039911051,0.16253838,0.16805911,0.64405304,0.11724583,0.54957308
61,0.18757007,1.0440649,-1.2138251,1.4902683,0.60705968,-0.48444784
62,0.023174885,0.10898518,-0.75685608,-1.5774033,-1.369153,-0.57320249
63,-0.78161297,-0.97557334,0.36329447,-0.91091794,-0.58819059,-0.24962085
64,0.65744117,1.3185625,-0.84859211,1.5318116,-1.2879083,-1.1801204
65,-1.4616853,-1.2587473,-0.37526286,0.51440326,-0.19441732,-0.015256858
66,0.45382271,1.0261565,-1.0156022,1.1218697,-0.36798667,-1.3359061
67,1.1248751,1.5333278,-0.73432244,-1.3279976,0.095053755,-0.71561435
68,0.9822325,0.14978464,1.7079177,-1.1150633,0.45043325,-0.99773363
69,-0.021256568,-0.8337876,1.6583657,0.62820184,1.0724267,1.8535954
70,-0.37385196,0.10531845,-1.167536,-0.8976358,-0.087229806,0.33005948
71,-0.93635588,-0.78598005,0.89371079,1.4191049,7.3139006e-05,0.96399294
72,0.5622135,-0.016350475,1.6398197,0.07810781,-0.94692727,0.10934312
73,1.4799633,1.0659469,1.2810378,-0.025252965,0.65812503,-0.086657692
74,-0.2487621,0.48885825,-1.1435196,1.611923,1.6150743,1.2266968
75,0.71026806,0.89387933,-0.093868219,-0.82264267,0.30184196,-2.1762588
76,-0.81646147,-0.31995809,-1.2056313,1.6586038,0.09241001,1.8176187
77,-0.16087125,-0.3021076,0.051486348,1.2868901,0.4643083,1.3181528
78,1.6640065,1.2992508,1.6195761,-1.3652322,0.082094505,0.73784695
79,0.58307616,1.0028808,-0.42917533,-1.5589818,0.80245919,-2.4582178
80,-0.035299555,0.55162692,-1.0172056,-0.39864224,1.5220191,-0.55790972
81,-0.67515116,-0.61461902,0.018441182,1.1152606,-1.3357443,1.1054839
82,0.10463815,0.8053385,-1.0848777,-0.83970574,-0.17570484,-1.1153472
83,0.68487298,0.49534059,-0.043699977,-0.55696334,1.7147764,-1.4290799
84,0.67717774,1.4236685,-1.2410543,-0.78564074,-1.6677094,-1.6140708
85,-0.78290031,-0.87856462,0.048794569,-0.65811672,0.079646409,-0.10831258
86,-0.76917069,-0.30877048,-0.79957126,1.2179823,-1.1678223,1.348386
87,0.10889146,-0.33240675,0.6551533,1.3223734,1.0689522,1.3600309
88,0.3333142,1.0025112,-1.612605,0.86534128,0.28511812,-0.86087996
89,0.21705963,0.92511048,-0.92366792,1.1826229,1.1050516,-0.77264501
90,1.9707493,1.3557449,1.2364395,1.0143595,-0.39288183,1.6782518
91,0.00072975314,0.72792457,-1.0173086,-0.34404439,0.24707837,-0.40176853
92,1.7232114,1.5520544,1.1306009,1.4561814,0.51872117,1.7465084
93,0.96440194,0.76395644,0.3558857,1.3160749,0.5830984,-1.2519164
94,-1.1654059,-1.6199294,0.52390634,-1.5694124,1.2295098,-0.58226051
95,0.89853445,0.82788581,0.5378022,-1.3603136,0.65597397,-2.369325
96,1.5100809,1.08607,1.2578951,1.1742764,-1.0834636,0.34852544
97,0.27296079,0.43677224,-0.38289354,-1.3023504,-0.004134946,-1.3605775
98,-0.74549704,-1.5306249,0.7817431,-0.90755338,0.99120603,-0.40567043
99,0.79424661,1.4613362,-0.87241253,1.3773083,0.50052573,-0.42619312
100,-2.0719593,-1.6314727,-1.1311411,-0.00618813,-1.0367222,-0.29374307
101,-0.72009435,-0.98909176,0.5893434,0.072945163,0.73479819,0.5179671
102,0.78578479,1.1063904,-0.46325163,0.40547241,0.5307594,-1.5115388
103,-0.64647214,-1.0915714,0.72455901,0.9086422,0.59855371,0.76804351
104,-1.186272,-0.97722804,-1.0241361,1.5834405,1.1574778,1.0642285
105,-1.9951936,-1.7578704,-0.99599553,1.2336123,0.10467939,0.36439618
106,0.82676799,1.4143377,-0.45149303,-1.5938392,-1.4967485,-1.893921
107,1.1423256,1.4473346,0.16387778,1.3780854,-1.5583798,0.070409217
108,-0.30973676,-1.0664365,1.6959941,-1.6235704,-1.5475742,0.060908897
109,0.10293812,1.0449124,-1.2332396,0.11501885,1.175003,-1.0590827
110,0.53037217,0.86012506,-0.27608905,1.599395,0.93706219,-1.0679222
111,-2.1285319,-1.7563199,-1.5347824,0.85332987,1.2401104,0.70810029
112,2.2837206,1.5695235,1.6799152,0.92820972,-0.2236983,1.1256128
113,1.7737691,1.60736,0.28641613,-0.22391606,-0.087308257,0.70868631
114,0.072582217,-0.65652676,1.239308,0.55606672,0.98155007,1.5822794
115,1.2167776,0.48837518,1.4785501,-1.0970774,-1.0430731,-2.1154457
116,-1.5097698,-0.80447488,-1.7047553,0.35168262,-0.1943988,0.92129876
117,-0.5861284,-0.62047426,-0.1602761,0.37580112,0.64207042,0.87723619
118,-0.32873027,0.16815743,-1.1218318,0.87470119,-0.45268613,0.96108046
119,-0.33138417,-1.2233735,1.703556,-1.4887383,1.0194309,0.77511677
120,0.32230031,-0.34151326,1.4243258,-1.1854217,-0.83941327,0.34068964
121,0.065319906,0.55317916,-0.38184594,1.4824365,-0.16402991,-0.21970493
122,0.76097172,0.058059456,1.4879666,1.5230165,0.70853761,0.65760456
123,-0.93918786,-0.55223523,-0.75418981,-1.6237477,-0.68231968,0.11859062
124,-0.031621054,0.14398272,-0.54462405,1.1916309,1.5083046,0.97666163
125,1.7586583,1.6216199,1.5253601,-1.4124128,0.36838793,0.8571237
126,-0.46666627,-0.065605901,-0.41463727,1.5185916,-0.71895587,0.95980134
127,0.1496325,-0.006363509,0.51611563,0.42128072,-1.5435705,0.13002505
128,-1.7389473,-1.3298714,-1.541375,0.72126596,0.12168838,0.5543155
129,0.15675291,0.30464212,-1.3674046,-0.14750922,0.60735651,0.15249464
130,0.1001942,0.78915588,-0.96198163,0.82025091,0.14580665,-0.80876399
131,0.58556654,0.41081481,0.67677678,-0.21291566,0.57463448,-1.0115218
132,-0.05599392,-0.57198896,1.6533913,-0.2414391,-0.77580617,1.0533757
133,-1.3854144,-1.3025461,-1.056083,0.29936944,-1.0642551,0.076891971
134,-1.8645214,-1.5872092,-1.4366767,-1.3726668,1.537661,-0.47281374
135,-0.86705162,-1.2098839,0.79068642,0.53555984,-0.12374391,0.50803777
136,-1.9701683,-1.6212023,-1.4967516,1.1765578,0.10699063,0.41398839
137,-0.5885176,-1.2123403,1.2990282,-1.1601131,0.41457798,0.13321328
138,-0.80159038,-0.81264277,-0.092699515,-0.315984,0.42728401,0.49932458
139,0.39113487,1.3353923,-1.3991365,0.712422,1.2076015,-0.82392059
140,-0.45706951,-0.70674281,-0.039631115,0.91257693,-0.34025573,0.97597009
141,-1.102253,-0.7893901,-0.65120255,-0.69769239,-1.623782,-0.69048124
142,-1.5291588,-1.5025986,-0.46939677,1.4977425,-0.3156805,0.16224371
143,1.2421767,0.55601454,1.639165,-0.67710526,-1.0023202,-1.6740668
144,-0.021129068,0.3425812,-0.98244997,1.3762581,0.43109212,0.91275598
145,-1.3641081,-0.82515201,-1.658805,-0.46927658,0.77236074,0.68307106
146,0.50589603,0.41003703,-0.021219534,-1.3768205,-0.7407306,-1.77317
147,0.072666654,0.97302232,-1.6950182,1.390062,-1.473347,-0.2637397
148,-0.027829579,-0.37925986,0.88426292,-1.5298506,1.3181743,0.44750443
149,-0.61704613,-0.018168208,-1.673544,-0.4523324,0.97000949,1.4609596
150,-1.5053231,-1.6666109,0.1002956,-0.83035271,-0.14092777,-0.78823116
151,-0.84750242,-1.3751888,0.58696206,0.040198505,0.020332897,-0.15702563
152,0.76278209,0.9593465,-0.44206557,0.087062944,1.4782431,-1.4822507
153,0.13579825,0.99466887,-1.4857766,-0.58743755,1.6471986,-0.72746364
154,-0.015629737,-0.037053467,0.13858638,1.4742643,-0.89048325,0.94280495
155,1.8793653,1.379979,1.1923118,-0.54819449,-0.40028693,0.66581846
156,-1.7198766,-1.2298162,-1.1670406,-1.1849894,0.23847013,-0.50080677
157,0.83792184,0.63063176,0.82822959,0.56578962,-1.1754241,-1.6963742
158,2.2855864,1.5093274,1.5981896,1.4739716,1.1181787,1.7725976
159,-0.78781988,-0.69936505,-0.17182512,0.91032675,1.4391673,1.2545646
160,-1.3561799,-1.6622654,-0.57218315,-0.94694984,-0.21154461,-0.86146137
161,-0.22508982,-0.95107287,1.045432,-1.1759835,1.6052212,0.73447702
162,0.27349521,1.0016747,-1.101301,0.018161726,0.50932854,-1.3707381
163,-1.0778465,-1.6132921,0.45368565,-1.628261,0.72287037,-0.93219869
164,-0.041362876,-0.033196466,0.27462934,-0.16009502,1.4980482,0.55230866
165,1.6904952,1.1944906,1.0402065,-1.4089745,-1.6639011,-0.72570395
166,-0.54753096,-0.43075734,-0.032963844,1.2183623,1.7176946,1.805851
