,oz1,oz2,oz3,oz4,oz5,oz6,oz7,oz8,oz9,oz10,oz11
0,1.2628374,1.3677407,0.25093899,1.1943854,-0.42628054,1.0420237,1.4141846,1.4196362,0.071424312,0.72709522,0.48022332
1,0.46695209,0.19356261,0.30207029,-0.66264191,-1.3085752,-0.13248037,-1.5331277,1.1797222,0.80968697,-0.28225901,-1.1873418
2,0.38612811,0.26779612,0.13925505,1.0092956,-0.39202158,-1.4201482,1.0535929,0.52698614,0.18503789,0.51232025,-0.42822478
3,0.53615531,0.57280648,0.60499235,-1.0282786,0.46223844,-0.10464956,-1.4391623,-0.63696667,-1.2045363,0.37346744,-1.6895466
4,-1.5182069,-1.3548552,-0.64879061,1.1055113,0.073048348,-0.78248757,1.7426755,-1.2454149,0.79441651,0.19358877,0.13583252
5,0.34158334,0.14409847,0.010692397,-1.1292192,0.43804351,-0.47818123,1.6248038,1.1075689,0.80266239,-1.2593986,-0.64595313
6,0.81968371,1.2500012,0.0087328405,-1.6368443,-0.70057416,-1.387322,-0.27229361,-0.0725291,0.88658908,0.57112204,-2.0832896
7,1.2069775,0.6010312,1.7191971,-1.403596,-1.5191202,-0.84598333,-0.38874146,0.2581865,-0.93030045,-1.5769929,-2.1565794
8,-0.20595823,-0.42369847,-0.013615672,0.43019179,0.63498618,-0.29789958,0.73844631,-1.4098879,-1.2318498,-0.89593753,1.0141124
9,-1.3988654,-1.3697701,-0.40504887,-0.25279054,1.1553919,1.1551788,1.7343852,1.4119079,1.063601,1.207383,-0.077086533
10,-0.80189458,-0.97225702,0.98366341,1.4044383,1.4998419,-0.24720385,-0.29030629,1.4834984,-0.26028493,1.5010586,1.3480914
11,0.12138319,-0.076433094,0.44978049,0.25749125,-1.7547166,-0.78453858,0.66224875,-0.080563166,0.1957136,-1.4715697,-0.0028043311
12,0.01801448,-0.75641726,1.5265332,-0.50571118,0.94158142,1.5458099,-1.4499128,0.20620022,-0.53581125,-1.2630978,1.3358615
13,0.22902952,0.54202866,-0.20951663,-1.1149962,1.315691,1.2531397,-1.2613336,0.55464749,-0.26508665,1.0340983,-1.0873614
14,-0.04837765,0.26266122,-1.0464009,0.030063995,-0.60713281,-0.24300091,0.8964981,-1.1527803,0.88917834,-0.18037693,0.0787542
15,0.27293157,0.56873036,-0.46544256,1.526594,0.66653932,-0.67681426,0.5051024,-1.0350355,-0.37253184,0.46676394,-0.22071045
16,-1.189844,-0.65944702,-1.5584795,0.67937303,-0.049561108,1.2464621,-1.2121794,0.79073962,1.5980773,1.0408701,1.174163
17,0.20366436,0.27463452,0.037128196,-1.0284914,-1.0434309,0.42166623,1.4738589,-0.036534494,-0.70328735,0.96955661,-0.94792958
18,-1.0696832,-1.0009667,-0.40068425,1.1832241,1.0952018,-1.306559,0.041425343,-0.13839715,-0.36315882,0.62421282,0.68094278
19,1.3904353,1.3355456,0.58372484,0.56527781,-1.334302,-1.387276,-0.71277928,0.26620379,1.6417915,0.91928578,0.42709661
20,1.6125383,1.4187973,0.53765603,0.1881817,0.71288193,-0.58314421,0.34807356,-1.1764964,-1.0637919,0.068375639,1.2484107
21,1.2468512,1.1990384,0.82091308,-1.2007326,0.021720415,1.4473483,0.82502556,-1.4946791,-1.4024215,0.89502528,-0.79155932
22,0.15862686,-0.16451747,0.12025627,1.4452412,-1.3265631,-1.6630635,-0.05855511,0.93840614,1.6943847,1.3237314,0.77508762
23,0.89340404,1.1562325,0.030566466,-0.24887896,0.62776105,1.6988151,-0.96221469,0.46815637,0.62317896,-1.5940269,-1.4548842
24,-0.012104668,0.47628217,-0.75687239,0.42297988,0.2000914,-0.29246438,0.86105585,0.17448042,0.28026592,0.84090622,0.062868494
25,-0.52768146,-1.0549293,0.69243284,-1.190677,-0.80494296,1.3983899,1.3426281,-0.41317081,0.42155156,0.96536125,-0.15274828
26,1.127873,0.28993369,1.8337847,-0.0087179134,-1.627908,-0.9415138,-1.1017078,-0.61279995,-1.4095195,0.36429675,-1.2847638
27,1.9832436,1.5005208,1.7550511,-1.7497269,-0.61423715,0.56175915,1.1617662,0.99442013,0.35384675,1.6117364,-0.031171198
28,0.93010083,1.6270533,-0.84081848,0.84530299,-0.48192416,-1.4472733,-1.0322652,1.3605767,1.2309109,-0.64969347,0.080488789
29,1.294068,0.8552457,1.2282996,-1.3535851,-1.7385087,0.27777925,-0.11844895,0.42959926,0.99472623,-0.37596964,-2.0433099
30,-0.34679541,-0.43862295,0.19777212,0.94928815,0.2318296,1.1617232,-0.73886684,-0.93390117,-1.0572103,0.58661382,1.0555617
31,0.73532638,1.1393449,-0.68838256,-1.6673156,-0.21302915,0.876514,0.34022099,1.4079265,-1.5044873,-1.6840298,-2.278408
