,fire,age,race,vol,invol,income
0,6.2,60.4,10.0,5.3,0.0,11744
1,9.5,76.5,22.2,3.1,0.1,9323
2,10.5,73.5,19.6,4.8,1.2,9948
3,7.7,66.9,17.3,5.7,0.5,10656
4,8.6,81.4,24.5,5.9,0.7,9730
5,34.1,52.6,54.0,4.0,0.3,8231
6,11.0,42.6,4.9,17.9,0.0,21480
7,6.9,78.5,7.1,6.9,0.0,11104
8,7.3,90.1,5.3,7.6,0.4,10694
9,15.1,89.8,21.5,3.1,1.1,9631
10,29.1,82.7,43.1,1.3,1.9,7995
11,2.2,40.2,1.1,14.3,0.0,13722
12,5.7,27.9,1.0,12.1,0.0,16250
13,2.0,7.7,1.7,10.9,0.0,13686
14,2.5,63.8,1.6,10.7,0.0,12405
15,3.0,51.2,1.5,13.8,0.0,12198
16,5.4,85.1,1.8,8.9,0.0,11600
17,2.2,44.4,1.0,11.5,0.0,12765
18,7.2,84.2,2.5,8.5,0.2,11084
19,15.1,89.8,13.4,5.2,0.8,10510
20,16.5,72.7,59.8,2.7,0.8,9784
21,18.4,72.9,94.4,1.2,1.8,7342
22,36.2,63.1,86.2,0.8,1.8,6565
23,39.7,83.0,50.2,5.2,0.9,7459
24,18.5,78.3,74.2,1.8,1.9,8014
25,23.3,79.0,55.5,2.1,1.5,8177
26,12.2,48.0,62.3,3.4,0.6,8212
27,5.6,71.5,4.4,8.0,0.3,11230
28,21.8,73.1,46.2,2.6,1.3,8330
29,21.6,65.0,99.7,0.5,0.9,5583
30,9.0,75.4,73.5,2.7,0.4,8564
31,3.6,20.8,10.7,9.1,0.0,12102
32,5.0,61.8,1.5,11.6,0.0,11876
33,28.6,78.1,48.8,4.0,1.4,9742
34,17.4,68.6,98.9,1.7,2.2,7520
35,11.3,73.4,90.6,1.9,0.8,7388
36,3.4,2.0,1.4,12.9,0.0,13842
37,11.9,57.0,71.2,4.8,0.9,11040
38,10.5,55.9,94.1,6.6,0.9,10332
39,10.7,67.5,66.1,3.1,0.4,10908
40,10.8,58.0,36.4,7.8,0.9,11156
41,4.8,15.2,1.0,13.0,0.0,13323
42,10.4,40.8,42.5,10.2,0.5,12960
43,15.6,57.8,35.1,7.5,1.0,11260
44,7.0,11.4,47.4,7.7,0.2,10080
45,7.1,49.2,34.0,11.6,0.3,11428
46,4.9,46.6,3.1,10.9,0.0,13731
