,OVER65Perc,MEDAGE,COLLEGEPerc,HSPerc
0,12.5,30.4,14.0,68.7
1,11.2,30.1,18.4,72.3
2,11.4,29.4,19.5,71.0
3,12.7,31.2,20.0,72.2
4,13.4,31.8,15.3,61.1
5,11.7,32.0,21.2,70.3
6,12.3,31.9,18.7,66.3
7,11.7,32.2,18.6,67.4
8,12.9,32.1,13.8,64.7
9,10.8,29.9,14.8,67.0
10,10.7,29.2,12.4,66.4
11,11.0,29.9,14.5,66.5
12,9.8,28.8,15.2,68.0
13,12.0,29.4,14.9,69.6
14,11.8,29.2,16.7,73.1
15,13.3,30.0,14.1,71.5
16,13.2,30.9,14.0,63.5
17,12.3,28.3,15.2,66.4
18,13.2,28.9,14.2,67.9
19,13.1,29.7,16.1,73.4
20,13.0,30.1,15.7,73.3
21,10.0,29.8,16.3,68.6
22,9.4,30.3,19.8,67.4
23,9.5,29.8,19.2,62.4
24,12.2,30.4,10.5,56.0
25,10.3,29.6,13.4,54.8
26,9.2,28.1,14.2,53.7
27,9.5,28.7,15.3,56.4
28,17.3,34.7,14.7,66.7
29,11.2,29.1,11.0,53.1
30,11.3,30.1,11.9,56.2
31,11.3,29.3,12.6,56.5
32,11.5,27.7,13.0,54.8
33,13.7,30.6,9.7,55.5
34,9.6,27.4,13.4,57.7
35,12.4,30.1,15.7,66.0
36,9.6,28.2,16.0,62.6
37,10.7,29.0,17.3,74.4
38,9.9,27.6,16.1,73.7
39,7.9,27.1,17.2,77.9
40,8.6,28.6,23.0,78.6
41,8.9,27.4,17.3,68.9
42,11.3,29.2,16.8,72.4
43,7.5,24.2,20.3,80.0
44,8.2,30.2,15.1,75.5
45,10.4,29.8,18.8,77.6
46,11.5,30.2,17.2,75.6
47,10.2,29.9,19.8,73.5
48,2.9,26.1,22.4,82.5
49,7.9,28.4,20.3,73.8
