,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
0,16.754,21.743,16.014,19.5413,17.573,20.011,19.3907,19.2227
1,17.419,15.225,12.5705,25.0069,20.4635,18.7705,19.4249,19.7238
2,42.063,15.757,30.8815,16.1605,20.8111,19.0999,19.5469,20.5771
3,15.907,24.8285,16.0473,15.488,23.9404,19.7499,18.7775,20.2231
4,35.787,20.153,21.5765,21.0381,20.6379,20.7242,18.602,20.4897
5,23.58,31.173,19.2852,18.3446,17.454,18.3696,18.9293,19.3809
6,15.729,20.971,24.7207,26.6096,19.757,18.3411,18.7784,20.7164
7,18.909,22.181,18.643,20.0476,19.9982,19.214,19.5977,19.5427
8,35.622,21.5195,21.8673,21.2938,17.9566,17.4547,18.9879,19.6088
9,6.526,29.19,37.4768,14.1133,19.0004,19.7492,22.5516,19.2558
10,17.687,16.0915,20.4135,20.6467,18.3155,18.4886,17.3822,20.0858
11,13.158,10.3945,24.3233,15.557,21.4618,19.37,20.7998,19.3748
12,35.241,14.259,21.3633,15.9451,18.9596,18.6013,21.0429,20.2103
13,15.818,27.222,13.6075,28.7728,18.682,18.9556,20.5817,19.731
14,11.389,12.8355,19.1748,25.4202,19.0712,19.3176,18.5756,20.008
15,32.416,20.5105,27.9797,14.6992,18.5087,19.8777,19.8943,19.4278
16,0.292,19.4395,26.268,20.4975,15.0215,17.2984,21.2463,19.1798
17,26.134,10.841,26.4005,17.4191,16.1092,20.6774,20.3109,19.662
18,43.311,14.8325,17.851,18.3828,17.246,21.6838,20.2233,18.9898
19,33.291,11.8165,17.7338,21.3487,18.887,23.4194,19.6817,18.5311
20,21.35,12.6065,16.3075,14.2534,23.0448,17.9106,18.3475,19.7204
21,7.242,15.0065,13.0222,20.2094,21.707,16.8538,19.803,20.1618
22,33.061,27.913,17.3345,24.5799,19.9944,19.5674,17.5515,19.9344
23,31.625,25.675,18.11,22.2267,21.8784,22.0322,22.1788,20.5871
24,19.756,23.9895,16.43,23.9076,18.2355,20.886,20.5399,18.9945
25,22.866,11.991,13.2127,23.7069,19.459,21.1999,20.4272,19.7756
26,25.123,36.41,16.1455,17.2599,22.1336,17.2189,19.4054,20.4552
27,14.088,12.194,23.1857,18.9984,18.3994,23.9445,22.6126,19.4722
28,14.922,14.5075,23.002,19.6272,20.23,19.2415,19.6981,20.2364
29,7.832,16.6205,14.992,22.1491,26.6752,17.9097,19.9978,19.8248
30,22.912,22.4755,14.8715,25.991,19.6734,20.8683,18.6223,20.4077
31,11.609,20.084,16.2355,15.17,23.7763,18.9203,19.1959,19.8911
32,7.838,43.4455,16.1263,18.2225,19.0726,19.102,20.697,21.3208
33,15.618,15.58,15.084,17.6923,20.7874,23.3906,19.4617,20.4071
34,22.256,31.463,14.6887,20.8591,19.5813,19.9844,19.1836,19.5473
35,6.585,22.261,15.4455,18.7351,22.7601,20.6375,18.8054,19.676
36,37.555,19.0225,25.9125,16.1817,24.4695,20.8331,16.816,20.1278
37,28.875,15.294,18.8263,22.1886,19.4647,19.6136,21.6562,19.9598
38,27.23,19.574,20.6138,17.2592,17.2028,20.7605,19.5569,20.0364
39,13.902,24.0865,20.921,23.8132,17.4853,18.6029,22.5887,20.6083
40,33.985,25.8295,16.3573,18.3237,16.7614,17.9593,20.5504,20.5866
41,18.179,11.256,14.6672,16.2833,20.7854,18.7357,19.6556,20.0326
42,10.408,27.931,26.379,24.72,21.3973,20.3515,19.5161,19.1676
43,17.677,15.575,27.668,24.1323,19.1203,19.2544,19.4777,19.4736
44,31.944,25.8775,26.5475,20.9931,20.7518,17.9882,21.3943,19.8802
45,14.329,6.8405,21.471,16.8414,18.5934,17.1147,19.7701,20.6321
46,11.657,9.231,27.4703,23.5138,20.3376,25.1154,20.2767,20.2545
47,27.182,16.9385,12.0265,24.2286,18.2279,19.2422,20.8534,18.7647
48,17.963,19.791,14.5285,30.6704,20.9828,22.0495,22.0203,20.0899
49,15.748,17.7655,13.211,20.0549,26.3834,19.0303,18.5184,20.2816
50,12.309,21.9455,14.6058,21.7933,19.9842,20.1392,19.5657,19.7128
51,14.481,15.9345,21.317,15.1875,18.2268,20.7152,19.9202,20.3229
52,7.841,22.62,12.2342,18.8875,21.5142,18.5894,20.949,19.8084
53,11.293,25.0695,30.9518,22.403,20.62,20.2213,22.6548,19.7172
54,23.433,17.664,21.7282,13.6819,16.7669,24.9595,20.801,20.1108
55,21.695,16.9855,20.4462,18.3318,20.1792,20.2657,18.4846,20.2492
56,16.242,16.015,11.5762,18.6876,20.5975,17.2666,19.4641,19.9284
57,17.359,13.7495,17.4065,18.0251,23.4807,22.1296,19.0031,19.6581
