,col_2,col_3,col_6,col_7,col_8,col_9,col_10,col_11,col_12
0,129.7,0.925,1.045,0.836,0.81,0.444,0.331,0.302,3600.0
1,131.3,0.914,1.045,0.869,0.846,0.448,0.335,0.307,3721.0
2,137.1,0.919,1.041,0.948,0.874,0.457,0.338,0.314,3844.0
3,141.6,0.918,1.035,0.96,0.885,0.463,0.343,0.32,3969.0
4,148.8,0.914,1.032,1.001,0.901,0.47,0.347,0.325,4096.0
5,155.9,0.949,1.009,0.994,0.919,0.471,0.353,0.332,4225.0
6,164.9,0.97,0.991,0.97,0.952,0.475,0.366,0.342,4356.0
7,171.0,1.0,1.0,1.0,1.0,0.483,0.375,0.353,4489.0
8,183.4,1.014,1.028,1.028,1.046,0.501,0.39,0.368,4624.0
9,195.8,1.047,1.044,1.031,1.127,0.514,0.409,0.386,4761.0
10,207.4,1.056,1.076,1.043,1.285,0.527,0.427,0.407,4900.0
11,218.3,1.063,1.12,1.102,1.377,0.547,0.442,0.431,5041.0
12,226.8,1.076,1.11,1.105,1.434,0.555,0.458,0.451,5184.0
13,237.9,1.181,1.111,1.176,1.448,0.566,0.497,0.474,5329.0
14,225.8,1.599,1.175,1.226,1.48,0.604,0.572,0.513,5476.0
15,232.4,1.708,1.276,1.464,1.586,0.659,0.615,0.556,5625.0
16,241.7,1.779,1.357,1.679,1.742,0.695,0.638,0.598,5776.0
17,249.2,1.882,1.429,1.828,1.824,0.727,0.671,0.648,5929.0
18,261.3,1.963,1.538,1.865,1.878,0.769,0.719,0.698,6084.0
19,248.9,2.656,1.66,2.01,2.003,0.821,0.8,0.756,6241.0
20,226.8,3.691,1.793,2.081,2.516,0.892,0.894,0.839,6400.0
21,225.6,4.109,1.902,2.569,3.12,0.957,0.969,0.926,6561.0
22,228.8,3.894,1.976,2.964,3.46,1.0,1.0,1.0,6724.0
23,239.6,3.764,2.026,3.297,3.626,1.041,1.021,1.062,6889.0
24,244.7,3.707,2.085,3.757,3.852,1.038,1.05,1.117,7056.0
25,245.8,3.738,2.152,3.797,4.028,1.045,1.075,1.173,7225.0
26,269.4,2.921,2.24,3.632,4.264,1.053,1.069,1.224,7396.0
