,error,distance,resolution
0,18.90625,37.40523,5.010459
1,16.33333,37.1523,4.50459
2,19.4375,36.89979,3.999597
3,17.44791,36.6478,3.495549
4,17.03646,36.39627,2.99253
5,14.59896,36.1453,2.490607
6,11.63021,35.89493,1.989856
7,9.13542,35.64516,1.49035
8,7.58333,35.39608,0.992159
9,6.041666,35.14767,0.4953526
10,5.45833,34.9,0.0
11,16.05728,30.07505,9.550089
12,16.97396,29.5797,8.559379
13,13.69792,29.08769,7.575369
14,12.05729,28.59927,6.598566
15,11.95833,28.11473,5.629449
16,11.97396,27.63423,4.668479
17,9.81771,27.15805,3.716089
18,9.182291,26.68634,2.772684
19,7.65625,26.21932,1.83864
20,5.30729,25.75715,0.914303
21,5.916666,25.29999,0.0
22,8.244791,17.43569,15.87139
23,9.213541,16.53969,14.07936
24,9.47917,15.66512,12.33024
25,9.026041,14.81283,10.62565
26,8.13542,13.9834,8.96681
27,5.96875,13.17728,7.354559
28,6.322916,12.39471,5.78943
29,6.40625,11.6358,4.271603
30,6.078125,10.9005,2.801006
31,4.80208,10.18866,1.377318
32,3.104167,9.5,0.0
33,5.78125,0.264824,19.47035
34,6.34896,1.574486,16.85102
35,7.99479,2.79645,14.40709
36,7.97396,3.93522,12.12956
37,6.57292,4.995754,10.00848
38,6.479166,5.98323,8.03353
39,6.90104,6.90282,6.19434
40,7.11458,7.7596,4.48079
41,6.63542,8.55839,2.883213
42,5.77083,9.30376,1.392464
43,3.36979,10.0,0.0
