,Coherence,Maturity,Quality
0,3.81,3.62,34.11
1,1.63,1.61,36.59
2,3.54,3.63,37.23
3,4.21,4.11,39.65
4,3.3,3.12,42.07
5,2.32,2.13,44.91
6,4.51,4.31,45.23
7,3.18,3.08,47.53
8,2.66,2.72,45.81
9,4.7,4.98,49.38
10,4.31,4.21,49.53
11,3.46,3.54,47.51
12,3.42,3.33,50.54
13,3.08,3.07,51.25
14,4.04,4.12,51.63
15,3.12,3.01,52.02
16,3.23,3.08,52.39
17,2.63,2.62,54.49
18,3.02,3.0,54.64
19,3.62,3.53,55.27
20,1.54,1.21,55.47
21,2.79,2.74,55.56
22,2.76,2.71,56.47
23,4.63,4.66,56.72
24,3.35,3.07,57.07
25,2.63,2.82,57.76
26,2.77,2.71,57.87
27,3.26,3.91,58.33
28,2.99,2.87,58.73
29,3.59,3.09,58.84
30,2.43,2.39,59.19
31,2.41,2.38,59.64
32,2.37,3.36,59.86
33,3.92,3.98,59.97
34,3.63,3.72,60.81
35,2.3,2.21,60.88
36,1.56,1.92,61.83
37,2.92,2.81,61.98
38,4.11,1.72,62.09
39,2.49,2.51,62.54
40,2.41,2.04,62.84
41,2.56,2.65,63.38
42,1.95,2.03,63.67
43,2.52,2.49,64.34
44,2.15,2.09,64.37
45,2.78,2.79,65.07
46,2.95,3.01,65.77
47,1.89,3.45,65.93
48,3.62,3.56,66.6
49,2.16,2.91,67.08
50,3.65,3.91,68.33
51,2.32,2.33,68.44
52,1.34,1.42,68.9
53,2.02,2.11,69.59
54,1.76,1.72,69.89
55,1.78,1.77,70.45
56,2.52,2.54,70.71
57,1.83,1.73,71.4
58,1.51,1.73,71.83
59,3.08,2.08,72.3
60,1.03,0.98,72.61
61,1.76,1.65,73.99
62,2.0,1.94,74.18
63,2.9,2.94,75.38
64,3.24,3.43,76.01
65,2.9,2.87,76.28
66,3.11,3.01,77.59
67,2.86,2.93,78.47
68,1.94,1.99,80.67
69,1.89,1.87,83.15
