,col_2,col_3,col_4,col_5
0,0.60814,0.03509,0.16607,-0.43148
1,0.79369,0.47924,0.53356,0.79969
2,-0.8263,-0.61951,-0.78635,-0.92467
3,-1.2531,-1.21675,-1.04076,-2.19081
4,0.17399,-0.18517,0.14229,-2.84818
5,0.20246,0.12764,0.27311,-0.66233
6,0.24184,-0.09022,0.04967,2.63674
7,0.59421,0.2175,0.51876,2.35847
8,-0.61561,-0.48971,-0.63219,-0.91306
9,0.99391,0.62227,0.93368,0.59445
10,1.21721,1.00627,1.17381,1.21073
11,0.41436,0.71103,0.58978,1.87164
12,0.83782,0.74281,0.72154,-0.10178
13,-0.75512,-0.64411,-0.56986,-2.87949
14,-0.37407,-0.13787,-0.2177,3.9259
15,1.40353,1.14085,1.37147,4.35084
16,1.64194,1.29229,1.40269,1.57922
17,-0.31304,-0.0798,-0.21455,3.95689
18,1.28525,1.22441,1.20428,1.09275
19,-1.51938,-1.27565,-1.36598,-0.62389
20,-0.38224,-0.05353,-0.3556,-0.63654
21,-0.19186,-0.42605,-0.53718,-2.02659
22,1.27649,0.81427,0.91967,-1.46692
23,0.5231,0.3072,0.47231,3.15078
24,-1.5981,-1.01572,-1.48315,-2.18938
25,0.77914,0.87771,0.76496,1.91715
26,-1.04745,-0.77536,-0.91397,-2.71428
27,-1.63217,-1.47709,-1.71347,-6.59852
28,0.44328,0.60956,0.32833,0.65101
29,-0.24972,0.07876,-0.17216,-0.13772
30,-0.3348,-0.39314,-0.37198,-2.43959
31,-0.2068,-0.13936,0.05626,-3.27802
32,-1.99375,-1.69587,-1.87838,-2.48058
33,0.66475,0.7967,0.69865,1.88639
34,-0.27977,0.10817,-0.2645,5.06459
35,-0.4399,-0.66022,-0.58491,1.96335
36,-0.05334,-0.02396,-0.16795,0.26274
37,-2.06699,-1.31832,-1.72082,-2.94593
38,-1.0256,-1.15858,-1.1942,-1.38628
39,0.45847,0.21555,0.31347,-0.20797
40,0.93979,0.63454,0.69907,-1.0782
41,-0.93238,-0.95216,-1.02725,-1.66386
42,-0.35988,-0.30693,-0.46232,0.58117
43,-0.00518,0.35985,0.02485,1.37447
44,-0.18892,-0.07959,0.01704,-2.82687
45,0.87271,0.47644,0.57036,3.86363
46,-2.06993,-1.82915,-2.16738,-2.64141
47,0.32143,-0.25961,0.21632,0.05387
48,-1.42382,-0.7762,-1.07473,0.50763
49,-0.07852,-0.21347,-0.1175,0.64347
50,-0.14925,-0.03192,-0.36599,2.49414
51,0.52666,0.79149,0.71368,0.61954
52,-1.49102,-1.02073,-1.38103,0.61745
53,-0.94757,-1.28991,-1.24799,-1.00743
54,0.2455,0.83793,0.59596,-0.37469
55,-0.4163,-0.60312,-0.34951,-2.52824
56,1.38143,1.54542,1.59429,0.02372
57,1.03806,0.91637,0.97602,2.51077
58,-0.88639,-0.47652,-0.77693,-4.22716
59,1.08655,0.657,0.89401,1.96847
60,-1.95142,-1.94199,-1.89645,1.25668
61,2.83384,2.47398,2.79222,-0.16848
62,1.86753,1.55229,1.80057,-0.34158
63,-1.11172,-0.69732,-0.80197,-2.23973
64,1.41958,1.11481,1.24558,3.62654
65,0.5394,0.16182,0.33477,0.97034
66,0.22491,0.748,0.66183,3.16093
67,1.48244,1.47079,1.54283,-1.90801
68,2.05425,1.80369,1.90066,0.64598
69,1.24058,0.64484,0.87372,-1.75915
