,discharge,runoff,density,no3,export,dep,nprec,prec
0,223.0,18.3,102.0,67.0,1224.7,1237.5,46.0,84.8
1,175000.0,24.8,1.0,3.0,74.5,120.6,2.1,181.1
2,7.29,45.6,7.15,3.6,164.0,86.5,2.6,104.9
3,7900.0,11.8,10.0,26.6,313.6,62.8,2.0,99.1
4,6500.0,8.1,90.0,46.0,371.4,826.4,45.0,57.9
5,336.0,19.1,100.0,61.0,1167.2,851.7,25.0,107.4
6,3550.0,16.1,2.0,6.4,103.3,739.7,16.0,145.8
7,16000.0,14.9,300.0,91.3,1361.4,294.3,5.8,160.0
8,706.0,16.9,12.0,24.0,405.7,975.0,45.0,68.3
9,1470.0,2.0,200.0,139.0,272.6,286.4,28.0,32.3
10,560.0,16.1,150.0,47.8,771.4,851.7,25.0,107.4
11,1900.0,6.1,0.4,1.1,6.7,60.9,7.0,27.4
12,10600.0,5.9,0.15,5.7,33.8,73.9,7.0,33.3
13,7500.0,31.3,30.0,17.0,531.3,87.5,2.6,106.2
14,15000.0,19.2,43.0,17.0,325.7,334.1,7.6,139.2
15,21.0,17.5,200.0,156.0,2730.0,919.4,28.9,100.3
16,317.0,9.1,250.0,230.0,2089.1,742.3,36.0,65.0
17,16100.0,5.0,30.0,63.0,315.0,691.7,19.0,114.8
18,318.2,0.3,1.5,15.0,4.4,74.8,4.4,53.6
19,2370.0,2.2,2.0,5.0,11.1,248.6,21.0,37.3
20,7000.0,6.2,20.0,7.0,43.6,555.2,9.6,181.6
21,950.0,0.3,50.0,20.0,6.4,50.9,10.2,15.7
22,170.0,0.2,20.0,50.0,8.3,154.9,23.0,18.1
23,33900.0,33.9,2.0,6.0,203.4,92.5,3.0,97.3
24,15900.0,5.7,10.0,14.2,80.6,216.2,9.9,75.8
25,1470.0,22.0,232.0,102.0,2247.3,1237.5,46.0,84.8
26,2200.0,11.9,300.0,286.0,3395.6,1647.9,60.0,86.6
27,1700.0,17.7,100.0,57.2,1012.9,695.9,30.0,73.2
28,190.0,13.5,35.0,54.0,727.7,252.8,8.6,92.7
29,1100.0,22.0,1.0,6.1,134.2,76.8,1.0,242.1
30,10700.0,10.4,15.0,16.0,167.0,673.2,21.0,101.1
31,1100.0,15.1,100.0,66.0,994.5,821.5,25.0,103.6
32,50.0,27.7,100.0,75.0,2076.5,608.7,33.0,58.2
33,78.0,7.8,400.0,520.0,4076.4,1125.1,61.0,58.2
34,230.0,13.5,262.0,100.0,1352.9,1237.5,46.0,84.8
35,3850.0,10.5,10.0,29.0,305.9,355.6,13.7,86.1
36,1100.0,5.5,120.0,70.5,387.8,832.8,47.0,55.9
37,8200.0,6.1,50.0,30.0,182.2,151.8,13.0,36.8
38,29000.0,15.4,200.0,58.2,897.0,370.5,10.0,116.8
39,6180.0,7.4,0.4,9.3,69.2,185.4,7.8,78.5
40,39730.0,10.4,11.7,6.0,62.4,467.2,10.0,147.3
41,3200.0,2.5,15.0,9.3,22.9,138.5,8.4,51.8
