,Age,Civil,Can/US,Income
0,23.349661,29.86088,4.1971595,45550.41
1,62.428811,22.772825,5.6913315,79129.5
2,48.272638,8.063227,9.5125003,70202.66
3,39.918946,14.799746,8.4269562,111268.15
4,33.232595,17.817427,14.2487283,50650.93
5,27.101284,13.404751,18.0681868,101357.09
6,52.491328,9.746183,5.0805321,77355.78
7,43.865826,18.706031,12.3001933,53120.18
8,31.795246,11.660241,15.4983787,61235.46
9,79.052775,12.263069,6.0833574,85269.93
10,54.194508,22.608776,6.4868753,96319.65
11,35.066522,2.53859,7.0844791,89467.07
12,40.434952,13.616403,9.3195608,99432.59
13,9.460303,21.010407,10.2039043,104059.66
14,49.159898,28.952001,7.8969531,31309.63
15,46.914543,17.258022,6.5432417,115830.32
16,45.767922,30.390819,4.2731403,78901.06
17,54.349277,25.815851,3.0876669,33746.63
18,64.314428,12.39822,12.2397256,64081.86
19,49.188499,11.024706,6.8382705,83153.02
20,76.652939,26.103957,6.3529689,114089.37
21,51.866679,19.819029,12.8005848,85453.86
22,29.262586,26.090016,15.3866239,80417.82
23,53.679798,20.002226,8.8483248,38196.45
24,68.879577,21.299838,10.5719498,84082.95
25,26.989108,14.012562,9.4672132,157090.68
26,72.079947,19.194236,4.1630267,85682.49
27,45.380312,17.806181,12.3846882,81734.15
28,53.83031,19.772365,8.5551434,76973.9
29,44.908491,16.486319,7.9117686,74955.01
30,56.521128,21.262055,17.7020264,41032.92
31,41.17038,28.26387,11.4195588,88925.88
32,37.96538,27.829664,0.2642362,120821.0
33,43.498354,15.322091,13.6181998,93493.13
34,43.343977,24.298524,8.2539983,64423.69
35,63.631147,18.167378,10.3458765,44572.59
36,52.564104,24.339034,7.2150167,85603.37
37,57.175338,20.863261,5.046247,79858.9
38,29.521415,16.856372,6.4313062,74747.45
39,52.4953,17.325386,10.8684591,77954.17
40,31.857979,14.762502,8.897336,50289.39
41,33.03287,28.333817,9.7110179,55953.65
42,38.245012,15.61043,14.2864509,23420.63
43,43.813534,16.47202,4.3630302,82646.87
44,43.142773,19.226898,8.876772,105219.72
45,43.226535,19.188189,4.231545,132151.03
46,38.858023,26.459855,10.1641902,94841.22
47,20.45723,30.6343502,7.669443,86812.65
48,42.15814,23.932471,12.115344,64687.83
49,64.95006,14.8925666,5.134576,45386.86
50,46.87503,22.6937877,6.884193,35222.07
51,64.11579,15.9844112,15.23861,72928.16
52,63.62045,8.954399,12.416755,93531.42
53,58.25248,10.963543,9.450022,173112.51
54,29.61109,19.0540757,5.318568,59694.91
55,35.65635,8.5759812,1.937343,141287.81
56,34.02292,-0.8397195,6.249028,71226.89
57,28.17437,16.308784,11.336806,34933.64
58,35.53192,20.2410721,8.909814,77326.67
59,38.53041,17.7094513,9.430934,106936.23
60,20.41723,26.3221018,9.049957,93502.58
61,33.77809,4.7829577,7.864196,59934.34
62,63.10095,29.157338,5.163299,151730.44
63,32.61149,19.6943795,10.572607,67568.12
64,33.25269,21.3523438,11.14138,54583.35
65,59.17378,18.7342535,10.947889,64793.85
66,33.15636,11.3868124,12.830182,74938.06
67,22.99372,18.2840037,5.020718,58297.51
68,69.44475,23.565799,8.248992,71132.77
69,34.46941,19.99901,7.756533,76384.77
70,28.04734,9.6446531,10.683043,107622.16
71,60.69,16.3703712,12.236151,66817.28
72,53.38916,15.1096212,2.107196,68300.47
73,49.90884,23.8617924,8.751306,97012.21
74,37.82528,21.495394,5.591292,57585.3
75,45.75806,6.5957861,15.804572,45925.15
76,49.30591,13.8023817,16.353585,110033.02
77,41.20675,15.3191228,5.270854,95961.38
78,22.85622,30.9767884,7.054899,94710.88
79,39.87962,22.8755486,19.430787,66960.43
80,53.3706,12.3857098,11.611559,143150.41
81,41.24611,16.8461259,8.477768,80375.35
82,29.33233,15.1403522,9.333612,79319.14
83,30.54214,13.89779,14.025725,87747.66
84,44.02006,33.4616385,17.710293,108563.09
85,17.31954,11.1706925,9.145336,82093.65
86,47.55285,13.2781432,11.438725,73530.54
87,48.7886,21.8434431,16.711769,83458.73
88,50.94245,25.2935283,4.832701,77956.99
89,54.17788,-1.010836,13.357556,127145.24
90,34.99632,17.475055,9.317477,68696.06
91,53.995,12.8198524,10.31,106710.04
92,45.39257,28.3922424,6.84285,73149.99
93,41.65472,18.586462,12.707037,95280.48
94,62.09379,11.98274,4.138981,84473.31
95,30.31772,25.870682,6.959338,105488.64
96,59.38179,23.05772,7.387254,119291.78
97,27.40328,16.589789,4.807525,104029.81
98,30.87474,7.389364,5.995377,126133.92
99,33.45568,30.544974,8.199891,81868.04
100,36.30911,10.627038,17.321439,24592.4
101,49.80042,25.141294,11.046152,89065.56
102,34.78109,28.42654,12.868815,80670.23
103,41.47764,12.629618,4.582109,88232.01
104,37.46378,21.426062,4.630819,111683.73
105,35.45272,23.22239,11.823672,90916.75
106,48.73234,19.152012,8.960538,95910.19
107,51.56882,24.708822,4.580001,118570.43
108,32.15726,26.485083,16.069536,57646.1
109,40.15542,26.979126,0.358543,69820.98
110,50.2621,28.434777,8.169322,69982.33
111,42.07542,26.565359,22.386001,88409.16
112,35.29961,25.244599,13.496626,69882.36
113,59.67104,31.082516,14.182728,112634.16
114,65.06014,20.531434,12.660972,111927.25
115,32.68086,19.349057,11.986278,116822.11
116,37.55882,22.658064,1.646716,24093.78
117,30.45163,26.237333,12.791385,31093.19
118,42.68879,11.464186,8.496722,14394.2
119,38.5579,17.801005,13.622323,86980.63
120,43.8542,16.036266,14.982478,98178.82
121,50.82181,11.432358,8.346016,93104.29
122,29.76762,7.852152,9.889413,89536.25
123,50.07595,26.583226,20.843885,76602.02
124,32.92387,22.44093,4.988265,60492.39
125,64.06096,18.329469,12.903774,109719.28
126,43.59016,14.96389,5.975627,60412.76
127,32.5079,15.467685,11.183677,118487.59
128,47.67324,19.652519,12.821923,59753.38
129,31.30751,10.183966,9.578887,115310.02
130,50.21119,30.970052,15.259984,13581.24
131,41.96971,18.49364,10.759781,56986.25
132,43.716,20.700359,13.318253,80291.27
133,46.94613,16.833399,3.928225,58038.65
134,56.7594,5.147698,16.110079,115774.53
135,67.34487,17.077899,16.470756,56077.84
136,31.95463,22.566072,11.863907,52405.68
137,65.03271,22.587606,11.948601,80231.92
138,53.13879,14.313088,13.993091,56913.61
139,60.60854,18.384228,14.176825,96308.89
140,39.12786,8.778894,9.23102,97761.28
141,41.185329,35.984939,6.588823,62837.39
142,32.885695,21.959379,3.146461,79937.41
143,37.96557,17.130676,8.07152,113306.39
144,34.49311,20.994615,8.465529,88399.03
145,39.84407,21.264212,3.767289,129058.83
146,51.906701,19.52854,6.566516,89989.36
147,46.18509,23.298841,3.572362,99177.36
148,31.576225,18.921663,3.22041,127362.96
149,37.442262,7.96131,13.737032,90164.38
150,40.447801,23.759452,11.5739,91019.83
151,61.79211,17.873151,13.387459,65638.48
152,32.064016,20.824752,8.502409,87794.94
153,29.042278,19.354772,7.215939,37081.4
154,35.407355,19.033953,6.541805,60327.39
155,27.585465,16.69872,8.524365,90049.59
156,32.433226,18.508968,4.657013,91206.09
157,42.331942,15.759037,17.688718,72569.81
158,35.416843,28.361106,3.773712,77161.0
159,33.290613,20.231756,11.1627,67556.34
160,42.959105,14.102997,13.285926,52139.46
161,35.977219,12.777074,7.092305,77065.71
162,40.120344,24.442206,9.501802,99438.29
163,4.131889,6.40502,7.521407,86121.49
164,41.499035,5.970095,10.770617,83295.2
165,63.490633,16.783914,6.792729,124218.41
