,sal77,exper
0,12420.0,14.0
1,12060.0,72.0
2,15120.0,35.5
3,16320.001,24.0
4,12300.0,56.0
5,10380.0,41.5
6,13979.999,54.5
7,10140.0,32.0
8,12360.0,252.0
9,10920.0,132.0
10,10920.0,175.0
11,12660.001,17.5
12,12960.0,64.0
13,12360.0,25.0
14,8940.0,165.0
15,8580.0,381.0
16,8760.0,190.0
17,8040.0,90.0
18,9000.0,63.0
19,8820.0,6.0
20,13320.0,24.0
21,9600.0,97.0
22,8940.0,26.0
23,9000.0,90.0
24,8760.0,0.0
25,9780.0,144.0
26,9360.0,208.5
27,7860.0,102.0
28,9660.0,96.0
29,9600.0,6.25
30,9180.001,5.0
31,9540.0,122.0
32,10380.0,0.0
33,8640.0,173.0
34,11880.0,26.0
35,12540.001,52.0
36,8400.0,82.0
37,8880.0,196.0
38,10080.0,55.0
39,9240.0,228.0
40,8640.0,228.0
41,7980.0,8.0
42,11940.0,38.0
43,9420.0,49.0
44,9780.0,86.5
45,10680.001,18.0
46,11160.0,115.0
47,8340.0,70.0
48,9600.0,244.0
49,9840.0,44.0
50,8700.0,318.0
51,9780.0,107.0
52,8280.0,241.0
53,8340.0,163.0
54,13560.0,11.0
55,10260.0,51.0
56,9720.0,4.5
57,10500.001,0.0
58,10680.001,38.0
59,11640.0,113.0
60,7860.0,180.0
61,11220.0,84.0
62,8700.0,315.0
63,12240.001,215.5
64,11220.0,36.0
65,12180.0,49.0
66,11580.0,108.0
67,8940.0,272.0
68,10680.001,56.0
69,11100.0,11.5
70,10080.0,29.0
71,15360.001,64.0
72,12600.0,7.0
73,8940.0,320.0
74,9480.0,359.0
75,14400.0,45.5
76,10620.0,61.0
77,10320.0,51.0
78,9600.0,75.0
79,10860.001,231.0
80,9720.0,121.0
81,9600.0,59.0
82,11100.0,11.0
83,10020.001,123.0
84,9780.0,116.5
85,10440.0,169.0
86,10560.0,36.0
87,9240.0,214.0
88,11940.0,78.5
89,10020.001,7.5
90,7860.0,132.5
91,9420.0,52.0
92,8340.0,127.0
