,years,public,expend,rank
0,16.79,87.8,25.6,89.7
1,16.07,86.2,19.95,90.6
2,16.57,88.3,20.62,89.8
3,16.3,83.9,27.14,86.3
4,17.25,83.6,21.05,88.5
5,15.91,93.7,29.48,86.4
6,17.41,78.3,24.84,83.4
7,16.57,75.2,17.42,85.9
8,16.01,97.0,25.96,87.5
9,16.85,77.3,27.69,84.2
10,15.95,74.2,20.07,85.6
11,15.49,86.4,15.71,89.2
12,15.72,61.2,14.58,83.4
13,15.92,79.5,22.19,83.7
14,16.18,92.1,17.8,85.9
15,16.76,67.9,15.36,90.1
16,16.61,71.4,15.69,86.4
17,16.83,88.3,26.56,81.8
18,16.23,87.5,26.53,83.2
19,15.98,80.9,19.14,84.3
20,15.8,74.6,24.41,78.7
21,16.85,44.8,19.72,82.9
22,16.42,67.7,20.79,80.6
23,16.5,80.7,24.61,81.8
24,17.08,90.6,18.16,86.2
25,16.37,69.6,13.84,83.9
26,16.52,71.5,21.43,79.5
27,16.35,78.1,20.33,73.6
28,15.32,96.5,50.1,79.6
29,14.73,89.1,21.79,81.1
30,14.48,92.1,30.49,79.3
31,16.5,84.2,20.17,75.8
32,15.52,83.0,25.94,77.5
33,16.95,67.9,27.81,71.4
34,16.75,76.8,26.97,69.8
35,16.86,80.4,33.58,70.5
36,16.05,85.7,20.55,74.6
37,15.91,80.5,22.62,74.6
38,16.9,80.4,25.41,71.5
39,16.08,88.8,22.23,72.4
40,16.79,80.7,31.74,69.9
41,17.27,78.6,27.98,73.4
42,16.67,79.7,25.59,71.4
43,16.37,80.6,27.91,69.8
44,14.95,91.7,19.55,76.4
45,14.39,90.2,17.93,74.1
46,16.4,67.6,21.21,69.9
47,15.31,92.8,19.92,75.3
48,15.55,86.5,16.52,74.0
49,15.42,88.1,15.6,74.0
